Time Bucket (America/Chicago),Casa10-Mains_A (kWhs)
01/01/2023 00:00:00,0.0298
01/01/2023 01:00:00,0.0295
01/01/2023 02:00:00,0.0297
01/01/2023 03:00:00,0.0300
01/01/2023 04:00:00,0.0299
01/01/2023 05:00:00,0.0301
01/01/2023 06:00:00,0.0302
01/01/2023 07:00:00,0.0302
01/01/2023 08:00:00,0.0301
01/01/2023 09:00:00,0.0297
01/01/2023 10:00:00,0.0295
01/01/2023 11:00:00,0.0295
01/01/2023 12:00:00,0.0294
01/01/2023 13:00:00,0.0292
01/01/2023 14:00:00,0.0289
01/01/2023 15:00:00,0.0287
01/01/2023 16:00:00,0.0287
01/01/2023 17:00:00,0.0289
01/01/2023 18:00:00,0.0291
01/01/2023 19:00:00,0.0292
01/01/2023 20:00:00,0.0291
01/01/2023 21:00:00,0.0291
01/01/2023 22:00:00,0.0294
01/01/2023 23:00:00,0.0295
01/02/2023 00:00:00,0.0295
01/02/2023 01:00:00,0.0295
01/02/2023 02:00:00,0.0293
01/02/2023 03:00:00,0.0295
01/02/2023 04:00:00,0.0296
01/02/2023 05:00:00,0.0297
01/02/2023 06:00:00,0.0298
01/02/2023 07:00:00,0.0300
01/02/2023 08:00:00,0.0326
01/02/2023 09:00:00,0.0334
01/02/2023 10:00:00,0.0309
01/02/2023 11:00:00,0.0317
01/02/2023 12:00:00,0.0334
01/02/2023 13:00:00,0.0325
01/02/2023 14:00:00,0.0328
01/02/2023 15:00:00,0.0315
01/02/2023 16:00:00,0.0289
01/02/2023 17:00:00,0.0303
01/02/2023 18:00:00,0.0291
01/02/2023 19:00:00,0.0293
01/02/2023 20:00:00,0.0293
01/02/2023 21:00:00,0.0292
01/02/2023 22:00:00,0.0294
01/02/2023 23:00:00,0.0295
01/03/2023 00:00:00,0.0295
01/03/2023 01:00:00,0.0294
01/03/2023 02:00:00,0.0294
01/03/2023 03:00:00,0.0296
01/03/2023 04:00:00,0.0299
01/03/2023 05:00:00,0.0297
01/03/2023 06:00:00,0.0301
01/03/2023 07:00:00,0.0301
01/03/2023 08:00:00,0.0322
01/03/2023 09:00:00,0.0314
01/03/2023 10:00:00,0.0319
01/03/2023 11:00:00,0.0304
01/03/2023 12:00:00,0.0298
01/03/2023 13:00:00,0.0292
01/03/2023 14:00:00,0.0290
01/03/2023 15:00:00,0.0295
01/03/2023 16:00:00,0.0290
01/03/2023 17:00:00,0.0289
01/03/2023 18:00:00,0.0291
01/03/2023 19:00:00,0.0294
01/03/2023 20:00:00,0.0292
01/03/2023 21:00:00,0.0293
01/03/2023 22:00:00,0.0296
01/03/2023 23:00:00,0.0297
01/04/2023 00:00:00,0.0297
01/04/2023 01:00:00,0.0298
01/04/2023 02:00:00,0.0301
01/04/2023 03:00:00,0.0299
01/04/2023 04:00:00,0.0300
01/04/2023 05:00:00,0.0300
01/04/2023 06:00:00,0.0299
01/04/2023 07:00:00,0.0301
01/04/2023 08:00:00,0.0302
01/04/2023 09:00:00,0.0297
01/04/2023 10:00:00,0.0294
01/04/2023 11:00:00,0.0292
01/04/2023 12:00:00,0.0291
