Time Bucket (America/Chicago),Casa6-Mains_C (kWhs)
01/01/2023 00:00:00,1.7945
01/02/2023 00:00:00,2.3329
01/03/2023 00:00:00,1.7691
01/04/2023 00:00:00,1.2828
01/05/2023 00:00:00,1.1831
01/06/2023 00:00:00,1.4028
01/07/2023 00:00:00,1.8167
01/08/2023 00:00:00,4.0039
01/09/2023 00:00:00,1.2193
01/10/2023 00:00:00,1.2479
01/11/2023 00:00:00,1.2326
01/12/2023 00:00:00,1.3726
01/13/2023 00:00:00,1.6540
01/14/2023 00:00:00,1.3451
01/15/2023 00:00:00,1.3505
01/16/2023 00:00:00,1.4384
01/17/2023 00:00:00,1.5842
01/18/2023 00:00:00,1.3805
01/19/2023 00:00:00,1.1731
01/20/2023 00:00:00,1.5394
01/21/2023 00:00:00,1.1603
01/22/2023 00:00:00,1.5666
01/23/2023 00:00:00,1.5776
01/24/2023 00:00:00,1.1395
01/25/2023 00:00:00,1.6943
01/26/2023 00:00:00,1.5459
01/27/2023 00:00:00,1.5856
01/28/2023 00:00:00,1.1010
01/29/2023 00:00:00,0.7825
01/30/2023 00:00:00,0.6424
01/31/2023 00:00:00,0.7785
02/01/2023 00:00:00,0.6317
