Time Bucket (America/Chicago),Casa10-Mains_A (kWatts)
01/08/2023 10:15:00,0.0308
01/08/2023 10:30:00,0.0286
01/08/2023 10:45:00,0.0292
01/08/2023 11:00:00,0.0306
01/08/2023 11:15:00,0.0320
01/08/2023 11:30:00,0.0299
01/08/2023 11:45:00,0.0307
01/08/2023 12:00:00,0.0315
01/08/2023 12:15:00,0.0330
01/08/2023 12:30:00,0.0305
01/08/2023 12:45:00,0.0331
01/08/2023 13:00:00,0.0309
01/08/2023 13:15:00,0.0298
01/08/2023 13:30:00,0.0317
01/08/2023 13:45:00,0.0290
01/08/2023 14:00:00,0.0290
01/08/2023 14:15:00,0.0291
01/08/2023 14:30:00,0.0290
01/08/2023 14:45:00,0.0289
01/08/2023 15:00:00,0.0289
01/08/2023 15:15:00,0.0288
01/08/2023 15:30:00,0.0287
01/08/2023 15:45:00,0.0287
01/08/2023 16:00:00,0.0286
01/08/2023 16:15:00,0.0291
01/08/2023 16:30:00,0.0286
01/08/2023 16:45:00,0.0091
01/08/2023 17:00:00,0.0071
01/08/2023 17:15:00,0.0071
01/08/2023 17:30:00,0.0071
01/08/2023 17:45:00,0.0103
01/08/2023 18:00:00,0.0185
01/08/2023 18:15:00,0.0185
01/08/2023 18:30:00,0.0299
01/08/2023 18:45:00,0.0300
01/08/2023 19:00:00,0.0300
01/08/2023 19:15:00,0.0300
01/08/2023 19:30:00,0.0300
01/08/2023 19:45:00,0.0299
01/08/2023 20:00:00,0.0298
01/08/2023 20:15:00,0.0298
01/08/2023 20:30:00,0.0297
01/08/2023 20:45:00,0.0297
01/08/2023 21:00:00,0.0296
01/08/2023 21:15:00,0.0295
01/08/2023 21:30:00,0.0293
01/08/2023 21:45:00,0.0293
01/08/2023 22:00:00,0.0293
01/08/2023 22:15:00,0.0294
01/08/2023 22:30:00,0.0294
01/08/2023 22:45:00,0.0294
01/08/2023 23:00:00,0.0294
