Time Bucket (America/Chicago),Casa6-Mains_C (kWhs)
01/01/2023 00:00:00,0.4704
01/01/2023 01:00:00,0.3384
01/01/2023 02:00:00,0.0028
01/01/2023 03:00:00,0.0465
01/01/2023 04:00:00,0.0029
01/01/2023 05:00:00,0.0026
01/01/2023 06:00:00,0.0565
01/01/2023 07:00:00,0.0013
01/01/2023 08:00:00,0.0000
01/01/2023 09:00:00,0.0826
01/01/2023 10:00:00,0.1560
01/01/2023 11:00:00,0.0649
01/01/2023 12:00:00,0.0000
01/01/2023 13:00:00,0.0397
01/01/2023 14:00:00,0.0187
01/01/2023 15:00:00,0.0371
01/01/2023 16:00:00,0.0411
01/01/2023 17:00:00,0.0056
01/01/2023 18:00:00,0.0362
01/01/2023 19:00:00,0.0621
01/01/2023 20:00:00,0.0941
01/01/2023 21:00:00,0.1853
01/01/2023 22:00:00,0.0461
01/01/2023 23:00:00,0.0036
01/02/2023 00:00:00,0.0898
01/02/2023 01:00:00,0.0684
01/02/2023 02:00:00,0.0639
01/02/2023 03:00:00,0.0038
01/02/2023 04:00:00,0.0542
01/02/2023 05:00:00,0.0034
01/02/2023 06:00:00,0.0387
01/02/2023 07:00:00,0.0189
01/02/2023 08:00:00,0.0520
01/02/2023 09:00:00,0.0545
01/02/2023 10:00:00,0.2218
01/02/2023 11:00:00,0.0609
01/02/2023 12:00:00,0.0920
01/02/2023 13:00:00,0.0268
01/02/2023 14:00:00,0.0415
01/02/2023 15:00:00,0.0585
01/02/2023 16:00:00,0.1019
01/02/2023 17:00:00,0.0619
01/02/2023 18:00:00,0.1102
01/02/2023 19:00:00,0.2724
01/02/2023 20:00:00,0.3374
01/02/2023 21:00:00,0.2173
01/02/2023 22:00:00,0.1416
01/02/2023 23:00:00,0.1412
01/03/2023 00:00:00,0.0898
01/03/2023 01:00:00,0.0324
01/03/2023 02:00:00,0.0323
01/03/2023 03:00:00,0.0324
01/03/2023 04:00:00,0.0327
01/03/2023 05:00:00,0.0038
01/03/2023 06:00:00,0.0337
01/03/2023 07:00:00,0.0331
01/03/2023 08:00:00,0.0027
01/03/2023 09:00:00,0.1388
01/03/2023 10:00:00,0.1083
01/03/2023 11:00:00,0.0189
01/03/2023 12:00:00,0.1138
01/03/2023 13:00:00,0.1371
01/03/2023 14:00:00,0.0899
01/03/2023 15:00:00,0.1362
01/03/2023 16:00:00,0.0704
01/03/2023 17:00:00,0.0463
01/03/2023 18:00:00,0.0706
01/03/2023 19:00:00,0.1660
01/03/2023 20:00:00,0.1656
01/03/2023 21:00:00,0.1736
01/03/2023 22:00:00,0.0162
01/03/2023 23:00:00,0.0244
01/04/2023 00:00:00,0.0363
01/04/2023 01:00:00,0.0354
01/04/2023 02:00:00,0.0160
01/04/2023 03:00:00,0.0226
01/04/2023 04:00:00,0.0346
01/04/2023 05:00:00,0.0273
01/04/2023 06:00:00,0.0112
01/04/2023 07:00:00,0.0428
01/04/2023 08:00:00,0.0542
01/04/2023 09:00:00,0.0175
01/04/2023 10:00:00,0.0535
01/04/2023 11:00:00,0.0383
01/04/2023 12:00:00,0.0172
01/04/2023 13:00:00,0.0258
01/04/2023 14:00:00,0.0362
01/04/2023 15:00:00,0.0364
01/04/2023 16:00:00,0.0321
01/04/2023 17:00:00,0.0483
01/04/2023 18:00:00,0.1054
01/04/2023 19:00:00,0.1212
01/04/2023 20:00:00,0.1201
01/04/2023 21:00:00,0.1604
01/04/2023 22:00:00,0.1551
01/04/2023 23:00:00,0.0347
01/05/2023 00:00:00,0.0275
01/05/2023 01:00:00,0.0120
01/05/2023 02:00:00,0.0361
01/05/2023 03:00:00,0.0995
01/05/2023 04:00:00,0.0938
01/05/2023 05:00:00,0.0033
01/05/2023 06:00:00,0.0432
01/05/2023 07:00:00,0.0145
01/05/2023 08:00:00,0.0415
01/05/2023 09:00:00,0.0298
01/05/2023 10:00:00,0.0326
01/05/2023 11:00:00,0.0374
01/05/2023 12:00:00,0.0317
01/05/2023 13:00:00,0.0352
01/05/2023 14:00:00,0.0445
01/05/2023 15:00:00,0.0355
01/05/2023 16:00:00,0.0331
01/05/2023 17:00:00,0.0222
01/05/2023 18:00:00,0.0931
01/05/2023 19:00:00,0.0910
01/05/2023 20:00:00,0.1627
01/05/2023 21:00:00,0.1207
01/05/2023 22:00:00,0.0382
01/05/2023 23:00:00,0.0040
01/06/2023 00:00:00,0.0398
01/06/2023 01:00:00,0.0365
01/06/2023 02:00:00,0.0055
01/06/2023 03:00:00,0.0347
01/06/2023 04:00:00,0.0376
01/06/2023 05:00:00,0.0034
01/06/2023 06:00:00,0.0380
01/06/2023 07:00:00,0.0016
01/06/2023 08:00:00,0.0730
01/06/2023 09:00:00,0.0139
01/06/2023 10:00:00,0.0000
01/06/2023 11:00:00,0.1026
01/06/2023 12:00:00,0.0392
01/06/2023 13:00:00,0.0188
01/06/2023 14:00:00,0.0244
01/06/2023 15:00:00,0.0425
01/06/2023 16:00:00,0.0979
01/06/2023 17:00:00,0.0905
01/06/2023 18:00:00,0.1115
01/06/2023 19:00:00,0.2893
01/06/2023 20:00:00,0.1800
01/06/2023 21:00:00,0.0358
01/06/2023 22:00:00,0.0462
01/06/2023 23:00:00,0.0403
01/07/2023 00:00:00,0.0361
01/07/2023 01:00:00,0.0089
01/07/2023 02:00:00,0.0388
01/07/2023 03:00:00,0.0371
01/07/2023 04:00:00,0.0072
01/07/2023 05:00:00,0.0383
01/07/2023 06:00:00,0.0060
01/07/2023 07:00:00,0.0345
01/07/2023 08:00:00,0.0457
01/07/2023 09:00:00,0.0335
01/07/2023 10:00:00,0.0148
01/07/2023 11:00:00,0.0914
01/07/2023 12:00:00,0.1024
01/07/2023 13:00:00,0.0095
01/07/2023 14:00:00,0.0221
01/07/2023 15:00:00,0.0423
01/07/2023 16:00:00,0.0034
01/07/2023 17:00:00,0.0368
01/07/2023 18:00:00,0.0754
01/07/2023 19:00:00,0.1345
01/07/2023 20:00:00,0.1257
01/07/2023 21:00:00,0.1137
01/07/2023 22:00:00,0.3780
01/07/2023 23:00:00,0.3804
01/08/2023 00:00:00,0.3720
01/08/2023 01:00:00,0.3635
01/08/2023 02:00:00,0.3745
01/08/2023 03:00:00,0.3761
01/08/2023 04:00:00,0.4034
01/08/2023 05:00:00,0.3210
01/08/2023 06:00:00,0.3205
01/08/2023 07:00:00,0.1252
01/08/2023 08:00:00,0.0000
01/08/2023 09:00:00,0.0298
01/08/2023 10:00:00,0.1583
01/08/2023 11:00:00,0.1004
01/08/2023 12:00:00,0.1848
01/08/2023 13:00:00,0.0322
01/08/2023 14:00:00,0.0091
01/08/2023 15:00:00,0.1350
01/08/2023 16:00:00,0.0894
01/08/2023 17:00:00,0.0366
01/08/2023 18:00:00,0.0501
01/08/2023 19:00:00,0.1340
01/08/2023 20:00:00,0.1912
01/08/2023 21:00:00,0.1551
01/08/2023 22:00:00,0.0195
01/08/2023 23:00:00,0.0222
01/09/2023 00:00:00,0.0302
01/09/2023 01:00:00,0.0299
01/09/2023 02:00:00,0.0297
01/09/2023 03:00:00,0.0295
01/09/2023 04:00:00,0.0048
