Time Bucket (America/Chicago),Casa1-Mains_C (kWatts)
01/02/2023 20:00:00,0.3906
01/02/2023 20:15:00,0.4063
01/02/2023 20:30:00,0.2178
01/02/2023 20:45:00,0.2151
01/02/2023 21:00:00,0.1087
01/02/2023 21:15:00,0.1086
01/02/2023 21:30:00,0.1085
01/02/2023 21:45:00,0.1919
01/02/2023 22:00:00,0.1639
01/02/2023 22:15:00,0.1219
01/02/2023 22:30:00,0.2352
01/02/2023 22:45:00,0.2559
01/02/2023 23:00:00,0.3194
01/02/2023 23:15:00,0.2745
01/02/2023 23:30:00,0.1369
01/02/2023 23:45:00,0.1094
01/03/2023 00:00:00,0.1013
01/03/2023 00:15:00,0.1633
01/03/2023 00:30:00,0.1676
01/03/2023 00:45:00,0.2052
01/03/2023 01:00:00,0.1895
01/03/2023 01:15:00,0.1820
01/03/2023 01:30:00,0.1285
01/03/2023 01:45:00,0.1735
01/03/2023 02:00:00,0.0813
01/03/2023 02:15:00,0.0796
01/03/2023 02:30:00,0.0768
01/03/2023 02:45:00,0.0756
01/03/2023 03:00:00,0.2674
01/03/2023 03:15:00,0.2061
01/03/2023 03:30:00,0.1777
01/03/2023 03:45:00,0.1219
01/03/2023 04:00:00,0.0731
01/03/2023 04:15:00,0.1167
01/03/2023 04:30:00,0.1550
01/03/2023 04:45:00,0.0723
01/03/2023 05:00:00,0.0714
01/03/2023 05:15:00,0.0724
01/03/2023 05:30:00,0.1553
01/03/2023 05:45:00,0.2577
01/03/2023 06:00:00,0.2296
01/03/2023 06:15:00,0.1025
01/03/2023 06:30:00,0.0721
01/03/2023 06:45:00,0.0770
01/03/2023 07:00:00,0.0920
01/03/2023 07:15:00,0.2043
01/03/2023 07:30:00,0.1265
01/03/2023 07:45:00,0.0816
01/03/2023 08:00:00,0.1336
01/03/2023 08:15:00,0.1745
01/03/2023 08:30:00,0.1580
01/03/2023 08:45:00,0.1793
01/03/2023 09:00:00,0.1142
01/03/2023 09:15:00,0.0786
01/03/2023 09:30:00,0.0520
01/03/2023 09:45:00,0.0527
01/03/2023 10:00:00,0.0609
01/03/2023 10:15:00,0.1561
01/03/2023 10:30:00,0.0482
01/03/2023 10:45:00,0.1114
01/03/2023 11:00:00,0.1330
01/03/2023 11:15:00,0.2003
01/03/2023 11:30:00,0.3330
01/03/2023 11:45:00,0.1845
01/03/2023 12:00:00,0.2776
01/03/2023 12:15:00,0.2947
01/03/2023 12:30:00,0.2444
01/03/2023 12:45:00,0.2868
01/03/2023 13:00:00,0.0682
01/03/2023 13:15:00,0.1808
01/03/2023 13:30:00,0.3894
01/03/2023 13:45:00,0.4021
01/03/2023 14:00:00,0.1514
01/03/2023 14:15:00,0.1001
01/03/2023 14:30:00,0.1232
01/03/2023 14:45:00,0.1064
01/03/2023 15:00:00,0.0727
01/03/2023 15:15:00,0.1067
01/03/2023 15:30:00,0.1622
01/03/2023 15:45:00,0.1470
01/03/2023 16:00:00,0.1577
01/03/2023 16:15:00,0.2330
01/03/2023 16:30:00,0.1005
01/03/2023 16:45:00,0.0400
01/03/2023 17:00:00,0.0447
01/03/2023 17:15:00,0.1342
01/03/2023 17:30:00,0.0982
01/03/2023 17:45:00,0.0722
01/03/2023 18:00:00,0.0656
01/03/2023 18:15:00,0.2295
01/03/2023 18:30:00,0.2724
01/03/2023 18:45:00,0.1565
01/03/2023 19:00:00,0.1158
01/03/2023 19:15:00,0.2311
01/03/2023 19:30:00,0.1576
01/03/2023 19:45:00,0.1701
01/03/2023 20:00:00,0.0876
01/03/2023 20:15:00,0.0883
01/03/2023 20:30:00,0.1539
01/03/2023 20:45:00,0.3059
01/03/2023 21:00:00,0.3318
01/03/2023 21:15:00,0.1842
01/03/2023 21:30:00,0.1460
01/03/2023 21:45:00,0.1395
01/03/2023 22:00:00,0.1612
01/03/2023 22:15:00,0.2583
01/03/2023 22:30:00,0.1518
01/03/2023 22:45:00,0.1325
01/03/2023 23:00:00,0.1689
01/03/2023 23:15:00,0.1809
01/03/2023 23:30:00,0.2655
01/03/2023 23:45:00,0.1464
01/04/2023 00:00:00,0.1077
01/04/2023 00:15:00,0.0898
01/04/2023 00:30:00,0.0706
01/04/2023 00:45:00,0.1168
01/04/2023 01:00:00,0.1705
01/04/2023 01:15:00,0.0788
01/04/2023 01:30:00,0.1580
01/04/2023 01:45:00,0.1934
01/04/2023 02:00:00,0.1707
01/04/2023 02:15:00,0.1606
01/04/2023 02:30:00,0.1161
01/04/2023 02:45:00,0.0718
01/04/2023 03:00:00,0.0721
01/04/2023 03:15:00,0.0716
01/04/2023 03:30:00,0.0897
01/04/2023 03:45:00,0.1796
01/04/2023 04:00:00,0.1119
01/04/2023 04:15:00,0.1956
01/04/2023 04:30:00,0.1787
01/04/2023 04:45:00,0.0904
01/04/2023 05:00:00,0.1084
01/04/2023 05:15:00,0.1708
01/04/2023 05:30:00,0.0797
01/04/2023 05:45:00,0.0634
01/04/2023 06:00:00,0.0605
01/04/2023 06:15:00,0.0604
01/04/2023 06:30:00,0.1015
01/04/2023 06:45:00,0.2297
01/04/2023 07:00:00,0.1846
01/04/2023 07:15:00,0.1547
01/04/2023 07:30:00,0.0770
01/04/2023 07:45:00,0.0712
01/04/2023 08:00:00,0.0845
01/04/2023 08:15:00,0.1651
01/04/2023 08:30:00,0.0729
01/04/2023 08:45:00,0.0622
01/04/2023 09:00:00,0.0505
01/04/2023 09:15:00,0.0686
01/04/2023 09:30:00,0.1736
01/04/2023 09:45:00,0.1333
01/04/2023 10:00:00,0.0996
01/04/2023 10:15:00,0.0446
01/04/2023 10:30:00,0.0949
01/04/2023 10:45:00,0.1356
01/04/2023 11:00:00,0.0326
01/04/2023 11:15:00,0.0300
01/04/2023 11:30:00,0.0084
01/04/2023 11:45:00,0.0108
01/04/2023 12:00:00,0.1071
01/04/2023 12:15:00,0.2122
01/04/2023 12:30:00,0.1864
01/04/2023 12:45:00,0.0413
01/04/2023 13:00:00,0.0046
01/04/2023 13:15:00,0.0081
01/04/2023 13:30:00,0.0825
01/04/2023 13:45:00,0.2160
01/04/2023 14:00:00,0.1138
01/04/2023 14:15:00,0.1162
01/04/2023 14:30:00,0.0760
01/04/2023 14:45:00,0.1536
01/04/2023 15:00:00,0.1516
01/04/2023 15:15:00,0.1916
01/04/2023 15:30:00,0.1149
01/04/2023 15:45:00,0.0122
01/04/2023 16:00:00,0.0118
01/04/2023 16:15:00,0.0405
01/04/2023 16:30:00,0.1171
01/04/2023 16:45:00,0.0153
01/04/2023 17:00:00,0.0261
01/04/2023 17:15:00,0.0170
01/04/2023 17:30:00,0.1769
01/04/2023 17:45:00,0.2263
01/04/2023 18:00:00,0.1254
01/04/2023 18:15:00,0.0367
01/04/2023 18:30:00,0.0319
01/04/2023 18:45:00,0.1260
01/04/2023 19:00:00,0.1030
01/04/2023 19:15:00,0.1243
01/04/2023 19:30:00,0.1510
01/04/2023 19:45:00,0.2045
01/04/2023 20:00:00,0.3146
01/04/2023 20:15:00,0.2873
01/04/2023 20:30:00,0.2527
01/04/2023 20:45:00,0.1985
01/04/2023 21:00:00,0.2099
01/04/2023 21:15:00,0.2270
01/04/2023 21:30:00,0.1602
01/04/2023 21:45:00,0.1583
01/04/2023 22:00:00,0.1669
01/04/2023 22:15:00,0.2925
01/04/2023 22:30:00,0.3250
01/04/2023 22:45:00,0.2088
01/04/2023 23:00:00,0.1056
01/04/2023 23:15:00,0.0922
01/04/2023 23:30:00,0.0889
01/04/2023 23:45:00,0.1729
01/05/2023 00:00:00,0.1154
01/05/2023 00:15:00,0.0799
01/05/2023 00:30:00,0.0799
01/05/2023 00:45:00,0.1324
01/05/2023 01:00:00,0.2507
01/05/2023 01:15:00,0.2623
01/05/2023 01:30:00,0.1324
01/05/2023 01:45:00,0.0802
01/05/2023 02:00:00,0.0789
01/05/2023 02:15:00,0.0804
01/05/2023 02:30:00,0.1889
01/05/2023 02:45:00,0.1072
01/05/2023 03:00:00,0.0996
01/05/2023 03:15:00,0.0877
01/05/2023 03:30:00,0.1210
01/05/2023 03:45:00,0.2342
01/05/2023 04:00:00,0.2726
01/05/2023 04:15:00,0.1262
01/05/2023 04:30:00,0.0707
01/05/2023 04:45:00,0.0717
01/05/2023 05:00:00,0.0718
01/05/2023 05:15:00,0.1338
01/05/2023 05:30:00,0.1400
01/05/2023 05:45:00,0.0706
01/05/2023 06:00:00,0.0807
01/05/2023 06:15:00,0.1184
01/05/2023 06:30:00,0.2003
01/05/2023 06:45:00,0.2504
01/05/2023 07:00:00,0.1934
01/05/2023 07:15:00,0.1041
01/05/2023 07:30:00,0.1049
01/05/2023 07:45:00,0.1007
01/05/2023 08:00:00,0.0395
01/05/2023 08:15:00,0.0931
01/05/2023 08:30:00,0.1089
01/05/2023 08:45:00,0.0371
01/05/2023 09:00:00,0.0678
01/05/2023 09:15:00,0.2319
01/05/2023 09:30:00,0.2310
01/05/2023 09:45:00,0.2303
01/05/2023 10:00:00,0.0990
01/05/2023 10:15:00,0.0947
01/05/2023 10:30:00,0.0964
01/05/2023 10:45:00,0.0574
01/05/2023 11:00:00,0.1035
01/05/2023 11:15:00,0.1035
01/05/2023 11:30:00,0.0300
01/05/2023 11:45:00,0.0544
01/05/2023 12:00:00,0.1028
01/05/2023 12:15:00,0.1316
01/05/2023 12:30:00,0.1852
01/05/2023 12:45:00,0.0942
01/05/2023 13:00:00,0.0143
01/05/2023 13:15:00,0.0120
01/05/2023 13:30:00,0.0104
01/05/2023 13:45:00,0.1068
01/05/2023 14:00:00,0.0305
01/05/2023 14:15:00,0.0117
01/05/2023 14:30:00,0.0148
01/05/2023 14:45:00,0.0994
01/05/2023 15:00:00,0.2202
01/05/2023 15:15:00,0.1163
01/05/2023 15:30:00,0.0555
01/05/2023 15:45:00,0.0169
01/05/2023 16:00:00,0.1172
01/05/2023 16:15:00,0.0387
01/05/2023 16:30:00,0.0123
01/05/2023 16:45:00,0.0222
01/05/2023 17:00:00,0.1162
01/05/2023 17:15:00,0.0745
01/05/2023 17:30:00,0.0905
01/05/2023 17:45:00,0.1443
01/05/2023 18:00:00,0.1950
01/05/2023 18:15:00,0.1821
01/05/2023 18:30:00,0.0816
01/05/2023 18:45:00,0.0960
01/05/2023 19:00:00,0.1828
01/05/2023 19:15:00,0.2616
01/05/2023 19:30:00,0.1584
01/05/2023 19:45:00,0.1545
01/05/2023 20:00:00,0.1389
01/05/2023 20:15:00,0.2632
01/05/2023 20:30:00,0.3026
01/05/2023 20:45:00,0.2237
01/05/2023 21:00:00,0.1627
01/05/2023 21:15:00,0.1183
01/05/2023 21:30:00,0.2076
01/05/2023 21:45:00,0.1614
01/05/2023 22:00:00,0.1178
01/05/2023 22:15:00,0.1166
01/05/2023 22:30:00,0.2043
01/05/2023 22:45:00,0.3469
01/05/2023 23:00:00,0.4250
01/05/2023 23:15:00,0.2082
01/05/2023 23:30:00,0.2060
01/05/2023 23:45:00,0.1972
01/06/2023 00:00:00,0.1258
01/06/2023 00:15:00,0.0872
01/06/2023 00:30:00,0.0872
01/06/2023 00:45:00,0.1027
01/06/2023 01:00:00,0.1974
01/06/2023 01:15:00,0.1014
01/06/2023 01:30:00,0.0764
01/06/2023 01:45:00,0.1278
01/06/2023 02:00:00,0.1918
01/06/2023 02:15:00,0.2711
01/06/2023 02:30:00,0.1494
01/06/2023 02:45:00,0.0722
01/06/2023 03:00:00,0.0724
01/06/2023 03:15:00,0.0720
01/06/2023 03:30:00,0.1240
01/06/2023 03:45:00,0.1548
01/06/2023 04:00:00,0.0719
01/06/2023 04:15:00,0.0726
01/06/2023 04:30:00,0.0721
01/06/2023 04:45:00,0.2003
01/06/2023 05:00:00,0.3132
01/06/2023 05:15:00,0.3873
01/06/2023 05:30:00,0.1814
01/06/2023 05:45:00,0.1859
01/06/2023 06:00:00,0.0865
01/06/2023 06:15:00,0.0875
01/06/2023 06:30:00,0.0796
01/06/2023 06:45:00,0.0720
01/06/2023 07:00:00,0.1454
01/06/2023 07:15:00,0.1317
01/06/2023 07:30:00,0.1256
01/06/2023 07:45:00,0.2022
01/06/2023 08:00:00,0.1856
01/06/2023 08:15:00,0.1137
01/06/2023 08:30:00,0.1660
01/06/2023 08:45:00,0.1048
01/06/2023 09:00:00,0.0442
01/06/2023 09:15:00,0.0447
01/06/2023 09:30:00,0.0555
01/06/2023 09:45:00,0.0922
01/06/2023 10:00:00,0.0329
01/06/2023 10:15:00,0.0519
01/06/2023 10:30:00,0.1185
01/06/2023 10:45:00,0.2020
01/06/2023 11:00:00,0.2155
01/06/2023 11:15:00,0.3345
01/06/2023 11:30:00,0.0644
01/06/2023 11:45:00,0.0276
01/06/2023 12:00:00,0.0088
01/06/2023 12:15:00,0.0087
01/06/2023 12:30:00,0.0267
01/06/2023 12:45:00,0.1207
01/06/2023 13:00:00,0.0341
01/06/2023 13:15:00,0.0150
01/06/2023 13:30:00,0.1037
