Time Bucket (America/Chicago),Casa 7-Mains_A (kWatts)
01/01/2023 00:00:00,0.0021
01/01/2023 00:15:00,0.0021
01/01/2023 00:30:00,0.0005
01/01/2023 00:45:00,0.0000
01/01/2023 01:00:00,0.0021
01/01/2023 01:15:00,0.0020
01/01/2023 01:30:00,0.0012
01/01/2023 01:45:00,0.0000
01/01/2023 02:00:00,0.0066
01/01/2023 02:15:00,0.0199
01/01/2023 02:30:00,0.0000
01/01/2023 02:45:00,0.0002
01/01/2023 03:00:00,0.0001
01/01/2023 03:15:00,0.0000
01/01/2023 03:30:00,0.0000
01/01/2023 03:45:00,0.0001
01/01/2023 04:00:00,0.0002
01/01/2023 04:15:00,0.0001
01/01/2023 04:30:00,0.0034
01/01/2023 04:45:00,0.0038
01/01/2023 05:00:00,0.0003
01/01/2023 05:15:00,0.0003
01/01/2023 05:30:00,0.0002
01/01/2023 05:45:00,0.0000
01/01/2023 06:00:00,0.0012
01/01/2023 06:15:00,0.0001
01/01/2023 06:30:00,0.0002
01/01/2023 06:45:00,0.0000
01/01/2023 07:00:00,0.0000
01/01/2023 07:15:00,0.0000
01/01/2023 07:30:00,0.0002
01/01/2023 07:45:00,0.0001
01/01/2023 08:00:00,0.0000
01/01/2023 08:15:00,0.0000
01/01/2023 08:30:00,0.0000
01/01/2023 08:45:00,0.0002
01/01/2023 09:00:00,0.0017
01/01/2023 09:15:00,0.0000
01/01/2023 09:30:00,0.0000
01/01/2023 09:45:00,0.0001
01/01/2023 10:00:00,0.0080
01/01/2023 10:15:00,0.0115
01/01/2023 10:30:00,0.0118
01/01/2023 10:45:00,0.0101
01/01/2023 11:00:00,0.0039
01/01/2023 11:15:00,0.0005
01/01/2023 11:30:00,0.0000
01/01/2023 11:45:00,0.0000
01/01/2023 12:00:00,0.0001
01/01/2023 12:15:00,0.0001
01/01/2023 12:30:00,0.0000
01/01/2023 12:45:00,0.0000
01/01/2023 13:00:00,0.0000
01/01/2023 13:15:00,0.0001
01/01/2023 13:30:00,0.0000
01/01/2023 13:45:00,0.0000
01/01/2023 14:00:00,0.0000
01/01/2023 14:15:00,0.0002
01/01/2023 14:30:00,0.0000
01/01/2023 14:45:00,0.0000
01/01/2023 15:00:00,0.0001
01/01/2023 15:15:00,0.0000
01/01/2023 15:30:00,0.0000
01/01/2023 15:45:00,0.0000
01/01/2023 16:00:00,0.0001
01/01/2023 16:15:00,0.0000
01/01/2023 16:30:00,0.0000
01/01/2023 16:45:00,0.0000
01/01/2023 17:00:00,0.0001
01/01/2023 17:15:00,0.0001
01/01/2023 17:30:00,0.0000
01/01/2023 17:45:00,0.0000
01/01/2023 18:00:00,0.0000
01/01/2023 18:15:00,0.0004
01/01/2023 18:30:00,0.0236
01/01/2023 18:45:00,0.0167
01/01/2023 19:00:00,0.0273
01/01/2023 19:15:00,0.0185
01/01/2023 19:30:00,0.0291
01/01/2023 19:45:00,0.0227
01/01/2023 20:00:00,0.0243
01/01/2023 20:15:00,0.0247
01/01/2023 20:30:00,0.0233
01/01/2023 20:45:00,0.0134
01/01/2023 21:00:00,0.0049
01/01/2023 21:15:00,0.0023
01/01/2023 21:30:00,0.0296
01/01/2023 21:45:00,0.0067
01/01/2023 22:00:00,0.0312
01/01/2023 22:15:00,0.0307
01/01/2023 22:30:00,0.0359
01/01/2023 22:45:00,0.0141
01/01/2023 23:00:00,0.0038
01/01/2023 23:15:00,0.0045
01/01/2023 23:30:00,0.0029
01/01/2023 23:45:00,0.0001
01/02/2023 00:00:00,0.0000
01/02/2023 00:15:00,0.0000
01/02/2023 00:30:00,0.0001
01/02/2023 00:45:00,0.0000
01/02/2023 01:00:00,0.0000
01/02/2023 01:15:00,0.0002
01/02/2023 01:30:00,0.0001
01/02/2023 01:45:00,0.0004
01/02/2023 02:00:00,0.0000
01/02/2023 02:15:00,0.0002
01/02/2023 02:30:00,0.0000
01/02/2023 02:45:00,0.0000
01/02/2023 03:00:00,0.0000
01/02/2023 03:15:00,0.0001
01/02/2023 03:30:00,0.0001
01/02/2023 03:45:00,0.0000
01/02/2023 04:00:00,0.0000
01/02/2023 04:15:00,0.0000
01/02/2023 04:30:00,0.0001
01/02/2023 04:45:00,0.0001
01/02/2023 05:00:00,0.0000
01/02/2023 05:15:00,0.0000
01/02/2023 05:30:00,0.0003
01/02/2023 05:45:00,0.0002
01/02/2023 06:00:00,0.0001
01/02/2023 06:15:00,0.0000
01/02/2023 06:30:00,0.1169
01/02/2023 06:45:00,0.1956
01/02/2023 07:00:00,0.0058
01/02/2023 07:15:00,0.0001
01/02/2023 07:30:00,0.0029
01/02/2023 07:45:00,0.0076
01/02/2023 08:00:00,0.0041
01/02/2023 08:15:00,0.0053
01/02/2023 08:30:00,0.0066
01/02/2023 08:45:00,0.0051
01/02/2023 09:00:00,0.0005
01/02/2023 09:15:00,0.0000
01/02/2023 09:30:00,0.0000
01/02/2023 09:45:00,0.0000
01/02/2023 10:00:00,0.0000
01/02/2023 10:15:00,0.0002
01/02/2023 10:30:00,0.0004
01/02/2023 10:45:00,0.0004
01/02/2023 11:00:00,0.0000
01/02/2023 11:15:00,0.0018
01/02/2023 11:30:00,0.0067
01/02/2023 11:45:00,0.0078
01/02/2023 12:00:00,0.0069
01/02/2023 12:15:00,0.0005
01/02/2023 12:30:00,0.0007
01/02/2023 12:45:00,0.0000
01/02/2023 13:00:00,0.0000
01/02/2023 13:15:00,0.0015
01/02/2023 13:30:00,0.0000
01/02/2023 13:45:00,0.0000
01/02/2023 14:00:00,0.0001
01/02/2023 14:15:00,0.0004
01/02/2023 14:30:00,0.0018
01/02/2023 14:45:00,0.0000
01/02/2023 15:00:00,0.0000
01/02/2023 15:15:00,0.0023
01/02/2023 15:30:00,0.0017
01/02/2023 15:45:00,0.0002
01/02/2023 16:00:00,0.0001
01/02/2023 16:15:00,0.0000
01/02/2023 16:30:00,0.0000
01/02/2023 16:45:00,0.0000
01/02/2023 17:00:00,0.0001
01/02/2023 17:15:00,0.0002
01/02/2023 17:30:00,0.0000
01/02/2023 17:45:00,0.0000
01/02/2023 18:00:00,0.0000
01/02/2023 18:15:00,0.0001
01/02/2023 18:30:00,0.0001
01/02/2023 18:45:00,0.0000
01/02/2023 19:00:00,0.0000
01/02/2023 19:15:00,0.0000
01/02/2023 19:30:00,0.0002
01/02/2023 19:45:00,0.0000
01/02/2023 20:00:00,0.0043
01/02/2023 20:15:00,0.0720
01/02/2023 20:30:00,0.0781
01/02/2023 20:45:00,0.0307
01/02/2023 21:00:00,0.0294
01/02/2023 21:15:00,0.0179
01/02/2023 21:30:00,0.0167
01/02/2023 21:45:00,0.0208
01/02/2023 22:00:00,0.0222
01/02/2023 22:15:00,0.0150
01/02/2023 22:30:00,0.0027
01/02/2023 22:45:00,0.0209
01/02/2023 23:00:00,0.0204
01/02/2023 23:15:00,0.0222
01/02/2023 23:30:00,0.0152
01/02/2023 23:45:00,0.0068
01/03/2023 00:00:00,0.0000
01/03/2023 00:15:00,0.0002
01/03/2023 00:30:00,0.0000
01/03/2023 00:45:00,0.0000
01/03/2023 01:00:00,0.0006
01/03/2023 01:15:00,0.0001
01/03/2023 01:30:00,0.0001
01/03/2023 01:45:00,0.0000
01/03/2023 02:00:00,0.0000
01/03/2023 02:15:00,0.0001
01/03/2023 02:30:00,0.0001
01/03/2023 02:45:00,0.0000
01/03/2023 03:00:00,0.0000
01/03/2023 03:15:00,0.0000
01/03/2023 03:30:00,0.0002
01/03/2023 03:45:00,0.0000
01/03/2023 04:00:00,0.0000
01/03/2023 04:15:00,0.0000
01/03/2023 04:30:00,0.0001
01/03/2023 04:45:00,0.0000
01/03/2023 05:00:00,0.0000
01/03/2023 05:15:00,0.0000
01/03/2023 05:30:00,0.0006
01/03/2023 05:45:00,0.0001
01/03/2023 06:00:00,0.0000
01/03/2023 06:15:00,0.0004
01/03/2023 06:30:00,0.0006
01/03/2023 06:45:00,0.0228
01/03/2023 07:00:00,0.0008
01/03/2023 07:15:00,0.0000
01/03/2023 07:30:00,0.0000
01/03/2023 07:45:00,0.0001
01/03/2023 08:00:00,0.0000
01/03/2023 08:15:00,0.0003
01/03/2023 08:30:00,0.0029
01/03/2023 08:45:00,0.0029
01/03/2023 09:00:00,0.0000
01/03/2023 09:15:00,0.0006
01/03/2023 09:30:00,0.0036
01/03/2023 09:45:00,0.0080
01/03/2023 10:00:00,0.0083
01/03/2023 10:15:00,0.0033
01/03/2023 10:30:00,0.0048
01/03/2023 10:45:00,0.0063
01/03/2023 11:00:00,0.0075
01/03/2023 11:15:00,0.0043
01/03/2023 11:30:00,0.0005
01/03/2023 11:45:00,0.0000
01/03/2023 12:00:00,0.0000
01/03/2023 12:15:00,0.0000
01/03/2023 12:30:00,0.0000
01/03/2023 12:45:00,0.0004
01/03/2023 13:00:00,0.0000
01/03/2023 13:15:00,0.0005
01/03/2023 13:30:00,0.0008
01/03/2023 13:45:00,0.0021
01/03/2023 14:00:00,0.0091
01/03/2023 14:15:00,0.0033
01/03/2023 14:30:00,0.0003
01/03/2023 14:45:00,0.0001
01/03/2023 15:00:00,0.0000
01/03/2023 15:15:00,0.0000
01/03/2023 15:30:00,0.0001
01/03/2023 15:45:00,0.0000
01/03/2023 16:00:00,0.0000
01/03/2023 16:15:00,0.0000
01/03/2023 16:30:00,0.0000
01/03/2023 16:45:00,0.0000
01/03/2023 17:00:00,0.0001
01/03/2023 17:15:00,0.0000
01/03/2023 17:30:00,0.0000
01/03/2023 17:45:00,0.0000
01/03/2023 18:00:00,0.0000
01/03/2023 18:15:00,0.0000
01/03/2023 18:30:00,0.0000
01/03/2023 18:45:00,0.0000
01/03/2023 19:00:00,0.0000
01/03/2023 19:15:00,0.0000
01/03/2023 19:30:00,0.0000
01/03/2023 19:45:00,0.0001
01/03/2023 20:00:00,0.0000
01/03/2023 20:15:00,0.0000
01/03/2023 20:30:00,0.0007
01/03/2023 20:45:00,0.0371
01/03/2023 21:00:00,0.0445
01/03/2023 21:15:00,0.0460
01/03/2023 21:30:00,0.0452
01/03/2023 21:45:00,0.0388
01/03/2023 22:00:00,0.0357
01/03/2023 22:15:00,0.0155
01/03/2023 22:30:00,0.0234
01/03/2023 22:45:00,0.0301
01/03/2023 23:00:00,0.0085
01/03/2023 23:15:00,0.0051
01/03/2023 23:30:00,0.0030
01/03/2023 23:45:00,0.0004
01/04/2023 00:00:00,0.0000
01/04/2023 00:15:00,0.0000
01/04/2023 00:30:00,0.0000
01/04/2023 00:45:00,0.0000
01/04/2023 01:00:00,0.0000
01/04/2023 01:15:00,0.0000
01/04/2023 01:30:00,0.0001
01/04/2023 01:45:00,0.0000
01/04/2023 02:00:00,0.0000
01/04/2023 02:15:00,0.0000
01/04/2023 02:30:00,0.0000
01/04/2023 02:45:00,0.0000
01/04/2023 03:00:00,0.0000
01/04/2023 03:15:00,0.0000
01/04/2023 03:30:00,0.0000
01/04/2023 03:45:00,0.0000
01/04/2023 04:00:00,0.0000
01/04/2023 04:15:00,0.0007
01/04/2023 04:30:00,0.0000
01/04/2023 04:45:00,0.0000
01/04/2023 05:00:00,0.0000
01/04/2023 05:15:00,0.0000
01/04/2023 05:30:00,0.0000
01/04/2023 05:45:00,0.0000
01/04/2023 06:00:00,0.0000
01/04/2023 06:15:00,0.0000
01/04/2023 06:30:00,0.0011
01/04/2023 06:45:00,0.0080
01/04/2023 07:00:00,0.0004
01/04/2023 07:15:00,0.0002
01/04/2023 07:30:00,0.0001
01/04/2023 07:45:00,0.0000
01/04/2023 08:00:00,0.0000
01/04/2023 08:15:00,0.0000
01/04/2023 08:30:00,0.0001
01/04/2023 08:45:00,0.0000
01/04/2023 09:00:00,0.0000
01/04/2023 09:15:00,0.0017
01/04/2023 09:30:00,0.0012
01/04/2023 09:45:00,0.0002
01/04/2023 10:00:00,0.0000
01/04/2023 10:15:00,0.0013
01/04/2023 10:30:00,0.0325
01/04/2023 10:45:00,0.0487
01/04/2023 11:00:00,0.0497
01/04/2023 11:15:00,0.0137
01/04/2023 11:30:00,0.0000
01/04/2023 11:45:00,0.0003
01/04/2023 12:00:00,0.0000
01/04/2023 12:15:00,0.0000
01/04/2023 12:30:00,0.0008
01/04/2023 12:45:00,0.1705
01/04/2023 13:00:00,0.0004
01/04/2023 13:15:00,0.0015
01/04/2023 13:30:00,0.0007
01/04/2023 13:45:00,0.0201
01/04/2023 14:00:00,0.0179
01/04/2023 14:15:00,0.0053
01/04/2023 14:30:00,0.0000
01/04/2023 14:45:00,0.0001
01/04/2023 15:00:00,0.0000
01/04/2023 15:15:00,0.0001
01/04/2023 15:30:00,0.0004
01/04/2023 15:45:00,0.0015
01/04/2023 16:00:00,0.0054
01/04/2023 16:15:00,0.0001
01/04/2023 16:30:00,0.0001
01/04/2023 16:45:00,0.0000
01/04/2023 17:00:00,0.0000
01/04/2023 17:15:00,0.0000
01/04/2023 17:30:00,0.0000
01/04/2023 17:45:00,0.0000
01/04/2023 18:00:00,0.0000
01/04/2023 18:15:00,0.0000
01/04/2023 18:30:00,0.0000
01/04/2023 18:45:00,0.0001
01/04/2023 19:00:00,0.0025
01/04/2023 19:15:00,0.0168
01/04/2023 19:30:00,0.0120
01/04/2023 19:45:00,0.0082
01/04/2023 20:00:00,0.0115
01/04/2023 20:15:00,0.0192
01/04/2023 20:30:00,0.0188
01/04/2023 20:45:00,0.0303
01/04/2023 21:00:00,0.0422
01/04/2023 21:15:00,0.0493
01/04/2023 21:30:00,0.0353
01/04/2023 21:45:00,0.0116
01/04/2023 22:00:00,0.0099
01/04/2023 22:15:00,0.0230
01/04/2023 22:30:00,0.0286
01/04/2023 22:45:00,0.1280
01/04/2023 23:00:00,0.0251
01/04/2023 23:15:00,0.0185
01/04/2023 23:30:00,0.0005
01/04/2023 23:45:00,0.0000
01/05/2023 00:00:00,0.0046
01/05/2023 00:15:00,0.0089
01/05/2023 00:30:00,0.0077
01/05/2023 00:45:00,0.0048
01/05/2023 01:00:00,0.0021
01/05/2023 01:15:00,0.0000
01/05/2023 01:30:00,0.0000
01/05/2023 01:45:00,0.0001
01/05/2023 02:00:00,0.0000
01/05/2023 02:15:00,0.0000
01/05/2023 02:30:00,0.0005
01/05/2023 02:45:00,0.0000
01/05/2023 03:00:00,0.0000
01/05/2023 03:15:00,0.0000
01/05/2023 03:30:00,0.0001
01/05/2023 03:45:00,0.0000
01/05/2023 04:00:00,0.0000
01/05/2023 04:15:00,0.0000
01/05/2023 04:30:00,0.0001
01/05/2023 04:45:00,0.0001
01/05/2023 05:00:00,0.0000
01/05/2023 05:15:00,0.0005
01/05/2023 05:30:00,0.0004
01/05/2023 05:45:00,0.0001
01/05/2023 06:00:00,0.0000
01/05/2023 06:15:00,0.0003
01/05/2023 06:30:00,0.0045
01/05/2023 06:45:00,0.0053
01/05/2023 07:00:00,0.0005
01/05/2023 07:15:00,0.0004
01/05/2023 07:30:00,0.0141
01/05/2023 07:45:00,0.0182
01/05/2023 08:00:00,0.0088
01/05/2023 08:15:00,0.0001
01/05/2023 08:30:00,0.0023
01/05/2023 08:45:00,0.0031
01/05/2023 09:00:00,0.0007
01/05/2023 09:15:00,0.0001
01/05/2023 09:30:00,0.0002
01/05/2023 09:45:00,0.0000
01/05/2023 10:00:00,0.0001
01/05/2023 10:15:00,0.0000
01/05/2023 10:30:00,0.0005
01/05/2023 10:45:00,0.0009
01/05/2023 11:00:00,0.0000
01/05/2023 11:15:00,0.0001
01/05/2023 11:30:00,0.0000
01/05/2023 11:45:00,0.0000
01/05/2023 12:00:00,0.0000
01/05/2023 12:15:00,0.0000
01/05/2023 12:30:00,0.0000
01/05/2023 12:45:00,0.0008
01/05/2023 13:00:00,0.0035
01/05/2023 13:15:00,0.0002
01/05/2023 13:30:00,0.0000
01/05/2023 13:45:00,0.0004
01/05/2023 14:00:00,0.0000
01/05/2023 14:15:00,0.0111
01/05/2023 14:30:00,0.0002
01/05/2023 14:45:00,0.0002
01/05/2023 15:00:00,0.0001
01/05/2023 15:15:00,0.0003
01/05/2023 15:30:00,0.0000
01/05/2023 15:45:00,0.0000
01/05/2023 16:00:00,0.0000
01/05/2023 16:15:00,0.0001
01/05/2023 16:30:00,0.0000
01/05/2023 16:45:00,0.0000
01/05/2023 17:00:00,0.0000
01/05/2023 17:15:00,0.0001
01/05/2023 17:30:00,0.0000
01/05/2023 17:45:00,0.0000
01/05/2023 18:00:00,0.0000
01/05/2023 18:15:00,0.0001
01/05/2023 18:30:00,0.0000
01/05/2023 18:45:00,0.0000
01/05/2023 19:00:00,0.0000
01/05/2023 19:15:00,0.0001
01/05/2023 19:30:00,0.0000
01/05/2023 19:45:00,0.0000
01/05/2023 20:00:00,0.0000
01/05/2023 20:15:00,0.0001
01/05/2023 20:30:00,0.0001
01/05/2023 20:45:00,0.0000
01/05/2023 21:00:00,0.0000
01/05/2023 21:15:00,0.0001
01/05/2023 21:30:00,0.0001
01/05/2023 21:45:00,0.0140
01/05/2023 22:00:00,0.0233
01/05/2023 22:15:00,0.0235
01/05/2023 22:30:00,0.0177
01/05/2023 22:45:00,0.0390
01/05/2023 23:00:00,0.0305
01/05/2023 23:15:00,0.0323
01/05/2023 23:30:00,0.0278
01/05/2023 23:45:00,0.0114
01/06/2023 00:00:00,0.0108
01/06/2023 00:15:00,0.0053
01/06/2023 00:30:00,0.0000
01/06/2023 00:45:00,0.0000
01/06/2023 01:00:00,0.0000
01/06/2023 01:15:00,0.0001
01/06/2023 01:30:00,0.0000
01/06/2023 01:45:00,0.0025
01/06/2023 02:00:00,0.0023
01/06/2023 02:15:00,0.0002
01/06/2023 02:30:00,0.0001
01/06/2023 02:45:00,0.0000
01/06/2023 03:00:00,0.0000
01/06/2023 03:15:00,0.0000
01/06/2023 03:30:00,0.0002
01/06/2023 03:45:00,0.0000
01/06/2023 04:00:00,0.0005
01/06/2023 04:15:00,0.0000
01/06/2023 04:30:00,0.0001
01/06/2023 04:45:00,0.0001
01/06/2023 05:00:00,0.0000
01/06/2023 05:15:00,0.0004
01/06/2023 05:30:00,0.0000
01/06/2023 05:45:00,0.0001
01/06/2023 06:00:00,0.0000
01/06/2023 06:15:00,0.0000
01/06/2023 06:30:00,0.0265
01/06/2023 06:45:00,0.0154
01/06/2023 07:00:00,0.0040
01/06/2023 07:15:00,0.0000
01/06/2023 07:30:00,0.0024
01/06/2023 07:45:00,0.0005
01/06/2023 08:00:00,0.0000
01/06/2023 08:15:00,0.0000
01/06/2023 08:30:00,0.0000
01/06/2023 08:45:00,0.0001
01/06/2023 09:00:00,0.0001
01/06/2023 09:15:00,0.0000
01/06/2023 09:30:00,0.0028
01/06/2023 09:45:00,0.0005
01/06/2023 10:00:00,0.0004
01/06/2023 10:15:00,0.0014
01/06/2023 10:30:00,0.0027
01/06/2023 10:45:00,0.0001
01/06/2023 11:00:00,0.0000
01/06/2023 11:15:00,0.0031
01/06/2023 11:30:00,0.0078
01/06/2023 11:45:00,0.0056
01/06/2023 12:00:00,0.0005
01/06/2023 12:15:00,0.0001
01/06/2023 12:30:00,0.0007
01/06/2023 12:45:00,0.0000
01/06/2023 13:00:00,0.0031
01/06/2023 13:15:00,0.0005
01/06/2023 13:30:00,0.0012
01/06/2023 13:45:00,0.0000
01/06/2023 14:00:00,0.0000
01/06/2023 14:15:00,0.0000
01/06/2023 14:30:00,0.0000
01/06/2023 14:45:00,0.0000
01/06/2023 15:00:00,0.0000
01/06/2023 15:15:00,0.0000
01/06/2023 15:30:00,0.0000
01/06/2023 15:45:00,0.0000
01/06/2023 16:00:00,0.0000
01/06/2023 16:15:00,0.0000
01/06/2023 16:30:00,0.0000
01/06/2023 16:45:00,0.0000
01/06/2023 17:00:00,0.0001
01/06/2023 17:15:00,0.0000
01/06/2023 17:30:00,0.0000
01/06/2023 17:45:00,0.0003
01/06/2023 18:00:00,0.0008
01/06/2023 18:15:00,0.0001
01/06/2023 18:30:00,0.0000
01/06/2023 18:45:00,0.0001
01/06/2023 19:00:00,0.0000
01/06/2023 19:15:00,0.0006
01/06/2023 19:30:00,0.0022
01/06/2023 19:45:00,0.0009
01/06/2023 20:00:00,0.0002
01/06/2023 20:15:00,0.0001
01/06/2023 20:30:00,0.0000
01/06/2023 20:45:00,0.0434
01/06/2023 21:00:00,0.0465
01/06/2023 21:15:00,0.0344
01/06/2023 21:30:00,0.0358
01/06/2023 21:45:00,0.0371
01/06/2023 22:00:00,0.0419
01/06/2023 22:15:00,0.0444
01/06/2023 22:30:00,0.0401
01/06/2023 22:45:00,0.0305
01/06/2023 23:00:00,0.0237
01/06/2023 23:15:00,0.0208
01/06/2023 23:30:00,0.0222
01/06/2023 23:45:00,0.0243
01/07/2023 00:00:00,0.0238
01/07/2023 00:15:00,0.0219
01/07/2023 00:30:00,0.0213
01/07/2023 00:45:00,0.0238
01/07/2023 01:00:00,0.0238
01/07/2023 01:15:00,0.0230
01/07/2023 01:30:00,0.0212
01/07/2023 01:45:00,0.0229
01/07/2023 02:00:00,0.0238
01/07/2023 02:15:00,0.0079
01/07/2023 02:30:00,0.0001
01/07/2023 02:45:00,0.0001
01/07/2023 03:00:00,0.0000
01/07/2023 03:15:00,0.0000
01/07/2023 03:30:00,0.0001
01/07/2023 03:45:00,0.0001
01/07/2023 04:00:00,0.0000
01/07/2023 04:15:00,0.0000
01/07/2023 04:30:00,0.0000
01/07/2023 04:45:00,0.0001
01/07/2023 05:00:00,0.0001
01/07/2023 05:15:00,0.0000
01/07/2023 05:30:00,0.0000
01/07/2023 05:45:00,0.0001
01/07/2023 06:00:00,0.0000
01/07/2023 06:15:00,0.0000
01/07/2023 06:30:00,0.0001
01/07/2023 06:45:00,0.0001
01/07/2023 07:00:00,0.0000
01/07/2023 07:15:00,0.0000
01/07/2023 07:30:00,0.0002
01/07/2023 07:45:00,0.0001
01/07/2023 08:00:00,0.0016
01/07/2023 08:15:00,0.0004
01/07/2023 08:30:00,0.0001
01/07/2023 08:45:00,0.0066
01/07/2023 09:00:00,0.0057
01/07/2023 09:15:00,0.0079
01/07/2023 09:30:00,0.0057
01/07/2023 09:45:00,0.0056
01/07/2023 10:00:00,0.0078
01/07/2023 10:15:00,0.0073
01/07/2023 10:30:00,0.0012
01/07/2023 10:45:00,0.0003
01/07/2023 11:00:00,0.0000
01/07/2023 11:15:00,0.0008
01/07/2023 11:30:00,0.0025
01/07/2023 11:45:00,0.0077
01/07/2023 12:00:00,0.0017
01/07/2023 12:15:00,0.0001
01/07/2023 12:30:00,0.0004
01/07/2023 12:45:00,0.0033
01/07/2023 13:00:00,0.0019
01/07/2023 13:15:00,0.0001
01/07/2023 13:30:00,0.0001
