Time Bucket (America/Chicago),Casa6-Mains_C (kWatts)
01/01/2023 00:00:00,0.4632
01/01/2023 00:15:00,0.4650
01/01/2023 00:30:00,0.4721
01/01/2023 00:45:00,0.4813
01/01/2023 01:00:00,0.4801
01/01/2023 01:15:00,0.4957
01/01/2023 01:30:00,0.3331
01/01/2023 01:45:00,0.0447
01/01/2023 02:00:00,0.0029
01/01/2023 02:15:00,0.0028
01/01/2023 02:30:00,0.0028
01/01/2023 02:45:00,0.0029
01/01/2023 03:00:00,0.0031
01/01/2023 03:15:00,0.0028
01/01/2023 03:30:00,0.0586
01/01/2023 03:45:00,0.1213
01/01/2023 04:00:00,0.0035
01/01/2023 04:15:00,0.0027
01/01/2023 04:30:00,0.0026
01/01/2023 04:45:00,0.0027
01/01/2023 05:00:00,0.0025
01/01/2023 05:15:00,0.0030
01/01/2023 05:30:00,0.0026
01/01/2023 05:45:00,0.0025
01/01/2023 06:00:00,0.0130
01/01/2023 06:15:00,0.1266
01/01/2023 06:30:00,0.0680
01/01/2023 06:45:00,0.0185
01/01/2023 07:00:00,0.0035
01/01/2023 07:15:00,0.0017
01/01/2023 07:30:00,0.0000
01/01/2023 07:45:00,0.0000
01/01/2023 08:00:00,0.0000
01/01/2023 08:15:00,0.0000
01/01/2023 08:30:00,0.0000
01/01/2023 08:45:00,0.0000
01/01/2023 09:00:00,0.0154
01/01/2023 09:15:00,0.0219
01/01/2023 09:30:00,0.0212
01/01/2023 09:45:00,0.2719
01/01/2023 10:00:00,0.2721
01/01/2023 10:15:00,0.0209
01/01/2023 10:30:00,0.1013
01/01/2023 10:45:00,0.2296
01/01/2023 11:00:00,0.0000
01/01/2023 11:15:00,0.1306
01/01/2023 11:30:00,0.1229
01/01/2023 11:45:00,0.0063
01/01/2023 12:00:00,0.0000
01/01/2023 12:15:00,0.0000
01/01/2023 12:30:00,0.0000
01/01/2023 12:45:00,0.0000
01/01/2023 13:00:00,0.0000
01/01/2023 13:15:00,0.0000
01/01/2023 13:30:00,0.0412
01/01/2023 13:45:00,0.1175
01/01/2023 14:00:00,0.0359
01/01/2023 14:15:00,0.0164
01/01/2023 14:30:00,0.0225
01/01/2023 14:45:00,0.0000
01/01/2023 15:00:00,0.1084
01/01/2023 15:15:00,0.0402
01/01/2023 15:30:00,0.0000
01/01/2023 15:45:00,0.0000
01/01/2023 16:00:00,0.0000
01/01/2023 16:15:00,0.0000
01/01/2023 16:30:00,0.0780
01/01/2023 16:45:00,0.0865
01/01/2023 17:00:00,0.0000
01/01/2023 17:15:00,0.0000
01/01/2023 17:30:00,0.0000
01/01/2023 17:45:00,0.0222
01/01/2023 18:00:00,0.1194
01/01/2023 18:15:00,0.0183
01/01/2023 18:30:00,0.0037
01/01/2023 18:45:00,0.0036
01/01/2023 19:00:00,0.0042
01/01/2023 19:15:00,0.0037
01/01/2023 19:30:00,0.1156
01/01/2023 19:45:00,0.1249
01/01/2023 20:00:00,0.0571
01/01/2023 20:15:00,0.0564
01/01/2023 20:30:00,0.0533
01/01/2023 20:45:00,0.2094
01/01/2023 21:00:00,0.2564
01/01/2023 21:15:00,0.2592
01/01/2023 21:30:00,0.1520
01/01/2023 21:45:00,0.0736
01/01/2023 22:00:00,0.0035
01/01/2023 22:15:00,0.0848
01/01/2023 22:30:00,0.0926
01/01/2023 22:45:00,0.0036
01/01/2023 23:00:00,0.0036
01/01/2023 23:15:00,0.0036
01/01/2023 23:30:00,0.0035
01/01/2023 23:45:00,0.0036
01/02/2023 00:00:00,0.0034
01/02/2023 00:15:00,0.0445
01/02/2023 00:30:00,0.1211
01/02/2023 00:45:00,0.1900
01/02/2023 01:00:00,0.2629
01/02/2023 01:15:00,0.0033
01/02/2023 01:30:00,0.0038
01/02/2023 01:45:00,0.0034
01/02/2023 02:00:00,0.1050
01/02/2023 02:15:00,0.1275
01/02/2023 02:30:00,0.0196
01/02/2023 02:45:00,0.0034
01/02/2023 03:00:00,0.0035
01/02/2023 03:15:00,0.0034
01/02/2023 03:30:00,0.0039
01/02/2023 03:45:00,0.0043
01/02/2023 04:00:00,0.0035
01/02/2023 04:15:00,0.0550
01/02/2023 04:30:00,0.1307
01/02/2023 04:45:00,0.0277
01/02/2023 05:00:00,0.0033
01/02/2023 05:15:00,0.0036
01/02/2023 05:30:00,0.0034
01/02/2023 05:45:00,0.0033
01/02/2023 06:00:00,0.0035
01/02/2023 06:15:00,0.0032
01/02/2023 06:30:00,0.0323
01/02/2023 06:45:00,0.1200
01/02/2023 07:00:00,0.0689
01/02/2023 07:15:00,0.0026
01/02/2023 07:30:00,0.0000
01/02/2023 07:45:00,0.0000
01/02/2023 08:00:00,0.0000
01/02/2023 08:15:00,0.0255
01/02/2023 08:30:00,0.1367
01/02/2023 08:45:00,0.0460
01/02/2023 09:00:00,0.0205
01/02/2023 09:15:00,0.0029
01/02/2023 09:30:00,0.0008
01/02/2023 09:45:00,0.1939
01/02/2023 10:00:00,0.0148
01/02/2023 10:15:00,0.3886
01/02/2023 10:30:00,0.3866
01/02/2023 10:45:00,0.0971
01/02/2023 11:00:00,0.0364
01/02/2023 11:15:00,0.0360
01/02/2023 11:30:00,0.0359
01/02/2023 11:45:00,0.1355
01/02/2023 12:00:00,0.0289
01/02/2023 12:15:00,0.0111
01/02/2023 12:30:00,0.3275
01/02/2023 12:45:00,0.0004
01/02/2023 13:00:00,0.0001
01/02/2023 13:15:00,0.0999
01/02/2023 13:30:00,0.0071
01/02/2023 13:45:00,0.0003
01/02/2023 14:00:00,0.0578
01/02/2023 14:15:00,0.0680
01/02/2023 14:30:00,0.0202
01/02/2023 14:45:00,0.0199
01/02/2023 15:00:00,0.1075
01/02/2023 15:15:00,0.0101
01/02/2023 15:30:00,0.0053
01/02/2023 15:45:00,0.1110
01/02/2023 16:00:00,0.0402
01/02/2023 16:15:00,0.0312
01/02/2023 16:30:00,0.2841
01/02/2023 16:45:00,0.0522
01/02/2023 17:00:00,0.0071
01/02/2023 17:15:00,0.0759
01/02/2023 17:30:00,0.1029
