Time Bucket (America/Chicago),Casa8-Mains_A (kWhs)
01/01/2023 00:00:00,0.3258
01/01/2023 01:00:00,0.3468
01/01/2023 02:00:00,0.4414
01/01/2023 03:00:00,0.2045
01/01/2023 04:00:00,0.1934
01/01/2023 05:00:00,0.0763
01/01/2023 06:00:00,0.0722
01/01/2023 07:00:00,0.1000
01/01/2023 08:00:00,0.0723
01/01/2023 09:00:00,0.0665
01/01/2023 10:00:00,0.0983
01/01/2023 11:00:00,0.1431
01/01/2023 12:00:00,0.0816
01/01/2023 13:00:00,0.0626
01/01/2023 14:00:00,0.0638
01/01/2023 15:00:00,0.0643
01/01/2023 16:00:00,0.0581
01/01/2023 17:00:00,0.0674
01/01/2023 18:00:00,0.1144
01/01/2023 19:00:00,0.0849
01/01/2023 20:00:00,0.0821
01/01/2023 21:00:00,0.0799
01/01/2023 22:00:00,0.0802
01/01/2023 23:00:00,0.4734
01/02/2023 00:00:00,0.4477
01/02/2023 01:00:00,0.1251
01/02/2023 02:00:00,0.0590
01/02/2023 03:00:00,0.0524
01/02/2023 04:00:00,0.0545
01/02/2023 05:00:00,0.1721
01/02/2023 06:00:00,0.1571
01/02/2023 07:00:00,0.3090
01/02/2023 08:00:00,0.0693
01/02/2023 09:00:00,0.0504
01/02/2023 10:00:00,0.0497
01/02/2023 11:00:00,0.0495
01/02/2023 12:00:00,0.0492
01/02/2023 13:00:00,0.0468
01/02/2023 14:00:00,0.0511
01/02/2023 15:00:00,0.0724
01/02/2023 16:00:00,0.1044
01/02/2023 17:00:00,0.2842
01/02/2023 18:00:00,0.3532
01/02/2023 19:00:00,0.4953
01/02/2023 20:00:00,0.4011
01/02/2023 21:00:00,0.5295
01/02/2023 22:00:00,0.5586
01/02/2023 23:00:00,0.3600
01/03/2023 00:00:00,0.0671
01/03/2023 01:00:00,0.0529
01/03/2023 02:00:00,0.0450
01/03/2023 03:00:00,0.0434
01/03/2023 04:00:00,0.0474
01/03/2023 05:00:00,0.1828
01/03/2023 06:00:00,0.3003
01/03/2023 07:00:00,0.2559
01/03/2023 08:00:00,0.0328
01/03/2023 09:00:00,0.0320
01/03/2023 10:00:00,0.0342
01/03/2023 11:00:00,0.1345
01/03/2023 12:00:00,0.1907
01/03/2023 13:00:00,0.0713
01/03/2023 14:00:00,0.1361
01/03/2023 15:00:00,0.2091
01/03/2023 16:00:00,0.1627
01/03/2023 17:00:00,0.1293
01/03/2023 18:00:00,0.5170
01/03/2023 19:00:00,0.6832
01/03/2023 20:00:00,0.4333
01/03/2023 21:00:00,0.3960
01/03/2023 22:00:00,0.3645
01/03/2023 23:00:00,0.2347
01/04/2023 00:00:00,0.0237
01/04/2023 01:00:00,0.0159
01/04/2023 02:00:00,0.0139
01/04/2023 03:00:00,0.0138
01/04/2023 04:00:00,0.0152
01/04/2023 05:00:00,0.6335
01/04/2023 06:00:00,0.8342
01/04/2023 07:00:00,0.1772
01/04/2023 08:00:00,0.0738
01/04/2023 09:00:00,0.0408
01/04/2023 10:00:00,0.0392
01/04/2023 11:00:00,0.0756
01/04/2023 12:00:00,0.0341
01/04/2023 13:00:00,0.0448
01/04/2023 14:00:00,0.0330
01/04/2023 15:00:00,0.0337
01/04/2023 16:00:00,0.0496
01/04/2023 17:00:00,0.1450
01/04/2023 18:00:00,0.3823
01/04/2023 19:00:00,0.6558
01/04/2023 20:00:00,0.6485
01/04/2023 21:00:00,1.1075
01/04/2023 22:00:00,0.4620
01/04/2023 23:00:00,0.2694
01/05/2023 00:00:00,0.0761
01/05/2023 01:00:00,0.0353
01/05/2023 02:00:00,0.0354
01/05/2023 03:00:00,0.0258
01/05/2023 04:00:00,0.2051
01/05/2023 05:00:00,0.8400
01/05/2023 06:00:00,0.4913
01/05/2023 07:00:00,0.1030
01/05/2023 08:00:00,0.0288
01/05/2023 09:00:00,0.0687
01/05/2023 10:00:00,0.0344
01/05/2023 11:00:00,0.0320
01/05/2023 12:00:00,0.0366
01/05/2023 13:00:00,0.0359
01/05/2023 14:00:00,0.0372
01/05/2023 15:00:00,0.0424
01/05/2023 16:00:00,0.0839
01/05/2023 17:00:00,0.2048
01/05/2023 18:00:00,0.1063
01/05/2023 19:00:00,0.1709
01/05/2023 20:00:00,0.1838
01/05/2023 21:00:00,0.1779
01/05/2023 22:00:00,0.2899
01/05/2023 23:00:00,0.2875
01/06/2023 00:00:00,0.2526
01/06/2023 01:00:00,0.0524
01/06/2023 02:00:00,0.0422
01/06/2023 03:00:00,0.0363
01/06/2023 04:00:00,0.0294
01/06/2023 05:00:00,0.3172
01/06/2023 06:00:00,0.7638
01/06/2023 07:00:00,0.3368
01/06/2023 08:00:00,0.1015
01/06/2023 09:00:00,0.1278
01/06/2023 10:00:00,0.1252
01/06/2023 11:00:00,0.1392
01/06/2023 12:00:00,0.1234
01/06/2023 13:00:00,0.1525
01/06/2023 14:00:00,0.0616
01/06/2023 15:00:00,0.0601
01/06/2023 16:00:00,0.0959
01/06/2023 17:00:00,0.1321
01/06/2023 18:00:00,0.1997
01/06/2023 19:00:00,0.3783
01/06/2023 20:00:00,0.2882
01/06/2023 21:00:00,0.2801
01/06/2023 22:00:00,0.3829
01/06/2023 23:00:00,0.2677
01/07/2023 00:00:00,0.1239
01/07/2023 01:00:00,0.0337
01/07/2023 02:00:00,0.0232
01/07/2023 03:00:00,0.0205
01/07/2023 04:00:00,0.0193
01/07/2023 05:00:00,0.0121
01/07/2023 06:00:00,0.0291
01/07/2023 07:00:00,0.1897
01/07/2023 08:00:00,0.6280
01/07/2023 09:00:00,0.0520
01/07/2023 10:00:00,0.1420
01/07/2023 11:00:00,0.0499
01/07/2023 12:00:00,0.0445
01/07/2023 13:00:00,0.0515
01/07/2023 14:00:00,0.0672
01/07/2023 15:00:00,0.0308
01/07/2023 16:00:00,0.4047
