Time Bucket (America/Chicago),Casa8-Mains_A (kWatts)
01/01/2023 00:00:00,0.3235
01/01/2023 00:15:00,0.3351
01/01/2023 00:30:00,0.3225
01/01/2023 00:45:00,0.3221
01/01/2023 01:00:00,0.3350
01/01/2023 01:15:00,0.3358
01/01/2023 01:30:00,0.3175
01/01/2023 01:45:00,0.3990
01/01/2023 02:00:00,0.5067
01/01/2023 02:15:00,0.4592
01/01/2023 02:30:00,0.4263
01/01/2023 02:45:00,0.3733
01/01/2023 03:00:00,0.2084
01/01/2023 03:15:00,0.2012
01/01/2023 03:30:00,0.1940
01/01/2023 03:45:00,0.2142
01/01/2023 04:00:00,0.1924
01/01/2023 04:15:00,0.2004
01/01/2023 04:30:00,0.1781
01/01/2023 04:45:00,0.2028
01/01/2023 05:00:00,0.0721
01/01/2023 05:15:00,0.0839
01/01/2023 05:30:00,0.0746
01/01/2023 05:45:00,0.0747
01/01/2023 06:00:00,0.0796
01/01/2023 06:15:00,0.0656
01/01/2023 06:30:00,0.0847
01/01/2023 06:45:00,0.0589
01/01/2023 07:00:00,0.0888
01/01/2023 07:15:00,0.1159
01/01/2023 07:30:00,0.1214
01/01/2023 07:45:00,0.0737
01/01/2023 08:00:00,0.0705
01/01/2023 08:15:00,0.0762
01/01/2023 08:30:00,0.0641
01/01/2023 08:45:00,0.0784
01/01/2023 09:00:00,0.0579
01/01/2023 09:15:00,0.0798
01/01/2023 09:30:00,0.0510
01/01/2023 09:45:00,0.0774
01/01/2023 10:00:00,0.1011
01/01/2023 10:15:00,0.0961
01/01/2023 10:30:00,0.0937
01/01/2023 10:45:00,0.1025
01/01/2023 11:00:00,0.0911
01/01/2023 11:15:00,0.1025
01/01/2023 11:30:00,0.0952
01/01/2023 11:45:00,0.2834
01/01/2023 12:00:00,0.1270
01/01/2023 12:15:00,0.0665
01/01/2023 12:30:00,0.0760
01/01/2023 12:45:00,0.0572
01/01/2023 13:00:00,0.0738
01/01/2023 13:15:00,0.0534
01/01/2023 13:30:00,0.0740
01/01/2023 13:45:00,0.0491
01/01/2023 14:00:00,0.0785
01/01/2023 14:15:00,0.0478
01/01/2023 14:30:00,0.0736
01/01/2023 14:45:00,0.0554
01/01/2023 15:00:00,0.0636
01/01/2023 15:15:00,0.0654
01/01/2023 15:30:00,0.0521
01/01/2023 15:45:00,0.0762
01/01/2023 16:00:00,0.0504
01/01/2023 16:15:00,0.0663
01/01/2023 16:30:00,0.0637
01/01/2023 16:45:00,0.0520
01/01/2023 17:00:00,0.0764
01/01/2023 17:15:00,0.0519
01/01/2023 17:30:00,0.0634
01/01/2023 17:45:00,0.0779
01/01/2023 18:00:00,0.1909
01/01/2023 18:15:00,0.1070
01/01/2023 18:30:00,0.0891
01/01/2023 18:45:00,0.0708
01/01/2023 19:00:00,0.0953
01/01/2023 19:15:00,0.0779
01/01/2023 19:30:00,0.0712
01/01/2023 19:45:00,0.0954
01/01/2023 20:00:00,0.0809
01/01/2023 20:15:00,0.0705
01/01/2023 20:30:00,0.0902
01/01/2023 20:45:00,0.0867
01/01/2023 21:00:00,0.0706
01/01/2023 21:15:00,0.0770
01/01/2023 21:30:00,0.0919
01/01/2023 21:45:00,0.0800
01/01/2023 22:00:00,0.0711
01/01/2023 22:15:00,0.0782
01/01/2023 22:30:00,0.0916
01/01/2023 22:45:00,0.0797
01/01/2023 23:00:00,0.0793
01/01/2023 23:15:00,0.5296
01/01/2023 23:30:00,0.5170
01/01/2023 23:45:00,0.7676
01/02/2023 00:00:00,0.6089
01/02/2023 00:15:00,0.5496
01/02/2023 00:30:00,0.3154
01/02/2023 00:45:00,0.3169
01/02/2023 01:00:00,0.3005
01/02/2023 01:15:00,0.0856
01/02/2023 01:30:00,0.0604
01/02/2023 01:45:00,0.0541
01/02/2023 02:00:00,0.0656
01/02/2023 02:15:00,0.0643
01/02/2023 02:30:00,0.0566
01/02/2023 02:45:00,0.0494
01/02/2023 03:00:00,0.0483
01/02/2023 03:15:00,0.0483
01/02/2023 03:30:00,0.0523
01/02/2023 03:45:00,0.0607
01/02/2023 04:00:00,0.0590
01/02/2023 04:15:00,0.0545
01/02/2023 04:30:00,0.0556
01/02/2023 04:45:00,0.0490
01/02/2023 05:00:00,0.1350
01/02/2023 05:15:00,0.1637
01/02/2023 05:30:00,0.1895
01/02/2023 05:45:00,0.2002
01/02/2023 06:00:00,0.0740
01/02/2023 06:15:00,0.0594
01/02/2023 06:30:00,0.0554
01/02/2023 06:45:00,0.4398
01/02/2023 07:00:00,0.8052
01/02/2023 07:15:00,0.2641
01/02/2023 07:30:00,0.1138
01/02/2023 07:45:00,0.0529
01/02/2023 08:00:00,0.0697
01/02/2023 08:15:00,0.0880
01/02/2023 08:30:00,0.0651
01/02/2023 08:45:00,0.0543
01/02/2023 09:00:00,0.0527
01/02/2023 09:15:00,0.0495
01/02/2023 09:30:00,0.0494
01/02/2023 09:45:00,0.0501
01/02/2023 10:00:00,0.0495
01/02/2023 10:15:00,0.0494
01/02/2023 10:30:00,0.0494
01/02/2023 10:45:00,0.0505
01/02/2023 11:00:00,0.0485
01/02/2023 11:15:00,0.0531
01/02/2023 11:30:00,0.0517
01/02/2023 11:45:00,0.0501
01/02/2023 12:00:00,0.0561
01/02/2023 12:15:00,0.0522
01/02/2023 12:30:00,0.0508
01/02/2023 12:45:00,0.0321
01/02/2023 13:00:00,0.0429
01/02/2023 13:15:00,0.0380
01/02/2023 13:30:00,0.0582
01/02/2023 13:45:00,0.0481
01/02/2023 14:00:00,0.0520
01/02/2023 14:15:00,0.0472
01/02/2023 14:30:00,0.0461
01/02/2023 14:45:00,0.0592
01/02/2023 15:00:00,0.0807
01/02/2023 15:15:00,0.0783
01/02/2023 15:30:00,0.0762
01/02/2023 15:45:00,0.0543
01/02/2023 16:00:00,0.0426
01/02/2023 16:15:00,0.0594
01/02/2023 16:30:00,0.1165
01/02/2023 16:45:00,0.1989
01/02/2023 17:00:00,0.2444
01/02/2023 17:15:00,0.2982
01/02/2023 17:30:00,0.3446
01/02/2023 17:45:00,0.2496
01/02/2023 18:00:00,0.2340
01/02/2023 18:15:00,0.2281
01/02/2023 18:30:00,0.4538
01/02/2023 18:45:00,0.4968
01/02/2023 19:00:00,0.4560
01/02/2023 19:15:00,0.5300
01/02/2023 19:30:00,0.5330
01/02/2023 19:45:00,0.4621
01/02/2023 20:00:00,0.4202
01/02/2023 20:15:00,0.3971
01/02/2023 20:30:00,0.3924
01/02/2023 20:45:00,0.3945
01/02/2023 21:00:00,0.3981
01/02/2023 21:15:00,0.5461
01/02/2023 21:30:00,0.5721
01/02/2023 21:45:00,0.6018
01/02/2023 22:00:00,0.5881
01/02/2023 22:15:00,0.5511
01/02/2023 22:30:00,0.5511
01/02/2023 22:45:00,0.5442
01/02/2023 23:00:00,0.8724
01/02/2023 23:15:00,0.3195
01/02/2023 23:30:00,0.1738
01/02/2023 23:45:00,0.0742
01/03/2023 00:00:00,0.0819
01/03/2023 00:15:00,0.0621
01/03/2023 00:30:00,0.0626
01/03/2023 00:45:00,0.0616
01/03/2023 01:00:00,0.0564
01/03/2023 01:15:00,0.0529
01/03/2023 01:30:00,0.0518
01/03/2023 01:45:00,0.0504
01/03/2023 02:00:00,0.0496
01/03/2023 02:15:00,0.0489
01/03/2023 02:30:00,0.0428
01/03/2023 02:45:00,0.0389
01/03/2023 03:00:00,0.0383
01/03/2023 03:15:00,0.0402
01/03/2023 03:30:00,0.0474
01/03/2023 03:45:00,0.0477
01/03/2023 04:00:00,0.0476
01/03/2023 04:15:00,0.0470
01/03/2023 04:30:00,0.0472
01/03/2023 04:45:00,0.0476
01/03/2023 05:00:00,0.0470
01/03/2023 05:15:00,0.1364
01/03/2023 05:30:00,0.1939
01/03/2023 05:45:00,0.3539
01/03/2023 06:00:00,0.2124
01/03/2023 06:15:00,0.1889
01/03/2023 06:30:00,0.1537
01/03/2023 06:45:00,0.6462
01/03/2023 07:00:00,0.7041
01/03/2023 07:15:00,0.1249
01/03/2023 07:30:00,0.0855
01/03/2023 07:45:00,0.1091
01/03/2023 08:00:00,0.0274
01/03/2023 08:15:00,0.0282
01/03/2023 08:30:00,0.0373
01/03/2023 08:45:00,0.0381
01/03/2023 09:00:00,0.0377
01/03/2023 09:15:00,0.0183
01/03/2023 09:30:00,0.0337
01/03/2023 09:45:00,0.0384
01/03/2023 10:00:00,0.0388
01/03/2023 10:15:00,0.0387
01/03/2023 10:30:00,0.0334
01/03/2023 10:45:00,0.0258
01/03/2023 11:00:00,0.2296
01/03/2023 11:15:00,0.0895
01/03/2023 11:30:00,0.2044
01/03/2023 11:45:00,0.0145
01/03/2023 12:00:00,0.1808
01/03/2023 12:15:00,0.1314
01/03/2023 12:30:00,0.2269
01/03/2023 12:45:00,0.2238
01/03/2023 13:00:00,0.1445
01/03/2023 13:15:00,0.0466
01/03/2023 13:30:00,0.0468
01/03/2023 13:45:00,0.0471
01/03/2023 14:00:00,0.0834
01/03/2023 14:15:00,0.2199
01/03/2023 14:30:00,0.1292
01/03/2023 14:45:00,0.1120
01/03/2023 15:00:00,0.2182
01/03/2023 15:15:00,0.1969
01/03/2023 15:30:00,0.2189
01/03/2023 15:45:00,0.2024
01/03/2023 16:00:00,0.1891
01/03/2023 16:15:00,0.0925
01/03/2023 16:30:00,0.1959
01/03/2023 16:45:00,0.1733
01/03/2023 17:00:00,0.0862
01/03/2023 17:15:00,0.1760
01/03/2023 17:30:00,0.1442
01/03/2023 17:45:00,0.1108
01/03/2023 18:00:00,0.1592
01/03/2023 18:15:00,0.3346
01/03/2023 18:30:00,0.7570
01/03/2023 18:45:00,0.8172
01/03/2023 19:00:00,0.7997
01/03/2023 19:15:00,0.8921
01/03/2023 19:30:00,0.6303
01/03/2023 19:45:00,0.4108
01/03/2023 20:00:00,0.4015
01/03/2023 20:15:00,0.4131
01/03/2023 20:30:00,0.4524
01/03/2023 20:45:00,0.4661
01/03/2023 21:00:00,0.3714
01/03/2023 21:15:00,0.4315
01/03/2023 21:30:00,0.4060
01/03/2023 21:45:00,0.3749
01/03/2023 22:00:00,0.3640
01/03/2023 22:15:00,0.3539
