Time Bucket (America/Chicago),Casa 7-Mains_A (kWhs)
01/08/2023 08:00:00,0.0000
01/08/2023 09:00:00,0.0064
01/08/2023 10:00:00,0.0098
01/08/2023 11:00:00,0.0011
01/08/2023 12:00:00,0.0041
01/08/2023 13:00:00,0.0001
01/08/2023 14:00:00,0.0000
01/08/2023 15:00:00,0.0002
01/08/2023 16:00:00,0.0012
01/08/2023 17:00:00,0.0000
01/08/2023 18:00:00,0.0111
01/08/2023 19:00:00,0.0355
01/08/2023 20:00:00,0.0293
01/08/2023 21:00:00,0.0315
01/08/2023 22:00:00,0.0043
01/08/2023 23:00:00,0.0001
01/09/2023 00:00:00,0.0001
01/09/2023 01:00:00,0.0003
01/09/2023 02:00:00,0.0000
01/09/2023 03:00:00,0.0001
01/09/2023 04:00:00,0.0000
01/09/2023 05:00:00,0.0001
01/09/2023 06:00:00,0.0069
01/09/2023 07:00:00,0.0004
01/09/2023 08:00:00,0.0000
01/09/2023 09:00:00,0.0000
01/09/2023 10:00:00,0.0000
01/09/2023 11:00:00,0.0000
01/09/2023 12:00:00,0.0000
01/09/2023 13:00:00,0.0001
01/09/2023 14:00:00,0.0002
01/09/2023 15:00:00,0.0002
01/09/2023 16:00:00,0.0000
01/09/2023 17:00:00,0.0040
01/09/2023 18:00:00,0.0238
01/09/2023 19:00:00,0.0889
01/09/2023 20:00:00,0.0313
01/09/2023 21:00:00,0.0219
01/09/2023 22:00:00,0.0187
01/09/2023 23:00:00,0.0014
01/10/2023 00:00:00,0.0000
01/10/2023 01:00:00,0.0001
01/10/2023 02:00:00,0.0001
01/10/2023 03:00:00,0.0001
01/10/2023 04:00:00,0.0001
01/10/2023 05:00:00,0.0002
01/10/2023 06:00:00,0.0050
01/10/2023 07:00:00,0.0006
01/10/2023 08:00:00,0.0000
01/10/2023 09:00:00,0.0000
01/10/2023 10:00:00,0.0000
01/10/2023 11:00:00,0.0000
01/10/2023 12:00:00,0.0000
01/10/2023 13:00:00,0.0000
01/10/2023 14:00:00,0.0000
01/10/2023 15:00:00,0.0000
01/10/2023 16:00:00,0.0001
01/10/2023 17:00:00,0.0014
01/10/2023 18:00:00,0.0057
01/10/2023 19:00:00,0.0192
01/10/2023 20:00:00,0.0313
01/10/2023 21:00:00,0.0447
01/10/2023 22:00:00,0.0271
01/10/2023 23:00:00,0.0002
01/11/2023 00:00:00,0.0001
01/11/2023 01:00:00,0.0000
01/11/2023 02:00:00,0.0000
01/11/2023 03:00:00,0.0002
01/11/2023 04:00:00,0.0001
01/11/2023 05:00:00,0.0007
01/11/2023 06:00:00,0.0063
01/11/2023 07:00:00,0.0002
01/11/2023 08:00:00,0.0001
01/11/2023 09:00:00,0.0007
01/11/2023 10:00:00,0.0027
01/11/2023 11:00:00,0.0019
01/11/2023 12:00:00,0.0000
01/11/2023 13:00:00,0.0001
01/11/2023 14:00:00,0.0000
01/11/2023 15:00:00,0.0003
01/11/2023 16:00:00,0.0004
01/11/2023 17:00:00,0.0001
01/11/2023 18:00:00,0.0000
01/11/2023 19:00:00,0.0000
01/11/2023 20:00:00,0.0057
01/11/2023 21:00:00,0.0307
01/11/2023 22:00:00,0.0520
01/11/2023 23:00:00,0.0001
01/12/2023 00:00:00,0.0000
01/12/2023 01:00:00,0.0002
01/12/2023 02:00:00,0.0001
01/12/2023 03:00:00,0.0000
01/12/2023 04:00:00,0.0000
01/12/2023 05:00:00,0.0000
01/12/2023 06:00:00,0.0068
01/12/2023 07:00:00,0.0000
01/12/2023 08:00:00,0.0000
01/12/2023 09:00:00,0.0000
01/12/2023 10:00:00,0.0000
01/12/2023 11:00:00,0.0000
01/12/2023 12:00:00,0.0000
01/12/2023 13:00:00,0.0000
01/12/2023 14:00:00,0.0009
01/12/2023 15:00:00,0.0000
01/12/2023 16:00:00,0.0001
01/12/2023 17:00:00,0.0054
01/12/2023 18:00:00,0.0177
01/12/2023 19:00:00,0.0196
01/12/2023 20:00:00,0.0177
01/12/2023 21:00:00,0.0382
01/12/2023 22:00:00,0.0097
01/12/2023 23:00:00,0.0008
01/13/2023 00:00:00,0.0000
01/13/2023 01:00:00,0.0000
01/13/2023 02:00:00,0.0000
01/13/2023 03:00:00,0.0004
01/13/2023 04:00:00,0.0000
01/13/2023 05:00:00,0.0002
01/13/2023 06:00:00,0.0053
01/13/2023 07:00:00,0.0000
01/13/2023 08:00:00,0.0000
01/13/2023 09:00:00,0.0000
01/13/2023 10:00:00,0.0000
01/13/2023 11:00:00,0.0000
01/13/2023 12:00:00,0.0000
01/13/2023 13:00:00,0.0000
01/13/2023 14:00:00,0.0000
01/13/2023 15:00:00,0.0000
01/13/2023 16:00:00,0.0000
01/13/2023 17:00:00,0.0000
01/13/2023 18:00:00,0.0007
01/13/2023 19:00:00,0.0000
01/13/2023 20:00:00,0.0000
01/13/2023 21:00:00,0.0000
01/13/2023 22:00:00,0.0158
01/13/2023 23:00:00,0.0357
01/14/2023 00:00:00,0.0206
01/14/2023 01:00:00,0.0065
01/14/2023 02:00:00,0.0000
01/14/2023 03:00:00,0.0000
01/14/2023 04:00:00,0.0002
01/14/2023 05:00:00,0.0000
01/14/2023 06:00:00,0.0000
01/14/2023 07:00:00,0.0002
01/14/2023 08:00:00,0.0066
01/14/2023 09:00:00,0.0004
01/14/2023 10:00:00,0.0001
01/14/2023 11:00:00,0.0011
01/14/2023 12:00:00,0.0058
01/14/2023 13:00:00,0.0025
01/14/2023 14:00:00,0.0000
01/14/2023 15:00:00,0.0001
01/14/2023 16:00:00,0.0000
01/14/2023 17:00:00,0.0000
01/14/2023 18:00:00,0.0000
01/14/2023 19:00:00,0.0000
01/14/2023 20:00:00,0.0000
01/14/2023 21:00:00,0.0014
01/14/2023 22:00:00,0.0073
01/14/2023 23:00:00,0.0544
01/15/2023 00:00:00,0.0518
01/15/2023 01:00:00,0.0052
01/15/2023 02:00:00,0.0003
01/15/2023 03:00:00,0.0000
01/15/2023 04:00:00,0.0000
01/15/2023 05:00:00,0.0000
01/15/2023 06:00:00,0.0190
01/15/2023 07:00:00,0.0000
01/15/2023 08:00:00,0.0001
01/15/2023 09:00:00,0.0015
01/15/2023 10:00:00,0.0021
01/15/2023 11:00:00,0.0002
01/15/2023 12:00:00,0.0001
01/15/2023 13:00:00,0.0018
01/15/2023 14:00:00,0.0023
01/15/2023 15:00:00,0.0002
