Time Bucket (America/Chicago),Casa8-Mains_A (kWhs)
01/01/2023 00:00:00,3.4533
01/02/2023 00:00:00,4.9015
01/03/2023 00:00:00,4.7560
01/04/2023 00:00:00,5.8226
01/05/2023 00:00:00,3.6332
01/06/2023 00:00:00,4.7470
01/07/2023 00:00:00,4.8308
01/08/2023 00:00:00,5.0441
01/09/2023 00:00:00,4.6552
01/10/2023 00:00:00,4.1308
01/11/2023 00:00:00,5.2807
01/12/2023 00:00:00,3.7758
01/13/2023 00:00:00,4.9112
01/14/2023 00:00:00,3.1399
01/15/2023 00:00:00,2.5648
01/16/2023 00:00:00,3.6150
01/17/2023 00:00:00,5.0720
01/18/2023 00:00:00,4.0759
01/19/2023 00:00:00,4.0642
01/20/2023 00:00:00,3.9591
01/21/2023 00:00:00,2.9510
01/22/2023 00:00:00,1.4841
01/23/2023 00:00:00,5.0519
01/24/2023 00:00:00,4.1237
01/25/2023 00:00:00,3.5863
01/26/2023 00:00:00,5.2116
01/27/2023 00:00:00,2.5507
01/28/2023 00:00:00,3.3083
01/29/2023 00:00:00,2.0189
01/30/2023 00:00:00,3.6135
01/31/2023 00:00:00,2.9926
02/01/2023 00:00:00,2.7489
