Time Bucket (America/Chicago),Casa6-Mains_C (kWhs)
03/01/2023 00:00:00,1.8789
03/02/2023 00:00:00,1.6218
03/03/2023 00:00:00,1.5159
03/04/2023 00:00:00,1.6426
03/05/2023 00:00:00,1.6753
03/06/2023 00:00:00,1.6917
03/07/2023 00:00:00,1.7062
03/08/2023 00:00:00,1.4780
03/09/2023 00:00:00,1.4666
03/10/2023 00:00:00,1.2537
03/11/2023 00:00:00,1.6674
03/12/2023 00:00:00,1.4479
03/13/2023 00:00:00,1.3986
03/14/2023 00:00:00,1.6870
03/15/2023 00:00:00,1.6171
03/16/2023 00:00:00,1.0689
03/17/2023 00:00:00,0.8875
03/18/2023 00:00:00,0.8536
03/19/2023 00:00:00,0.8448
03/20/2023 00:00:00,0.7119
03/21/2023 00:00:00,0.8555
03/22/2023 00:00:00,0.9309
03/23/2023 00:00:00,0.9394
03/24/2023 00:00:00,0.8757
03/25/2023 00:00:00,1.0927
03/26/2023 00:00:00,1.0742
03/27/2023 00:00:00,1.1127
03/28/2023 00:00:00,1.1406
03/29/2023 00:00:00,1.0772
03/30/2023 00:00:00,1.0349
03/31/2023 00:00:00,1.0544
04/01/2023 00:00:00,1.0891
