Time Bucket (America/Chicago),Casa10-Mains_A (kWatts)
03/01/2023 00:00:00,0.0296
03/01/2023 00:15:00,0.0296
03/01/2023 00:30:00,0.0296
03/01/2023 00:45:00,0.0297
03/01/2023 01:00:00,0.0297
03/01/2023 01:15:00,0.0298
03/01/2023 01:30:00,0.0298
03/01/2023 01:45:00,0.0299
03/01/2023 02:00:00,0.0297
03/01/2023 02:15:00,0.0302
03/01/2023 02:30:00,0.0302
03/01/2023 02:45:00,0.0302
03/01/2023 03:00:00,0.0305
03/01/2023 03:15:00,0.0307
03/01/2023 03:30:00,0.0304
03/01/2023 03:45:00,0.0303
03/01/2023 04:00:00,0.0302
03/01/2023 04:15:00,0.0303
03/01/2023 04:30:00,0.0304
03/01/2023 04:45:00,0.0303
03/01/2023 05:00:00,0.0302
03/01/2023 05:15:00,0.0301
03/01/2023 05:30:00,0.0301
03/01/2023 05:45:00,0.0303
03/01/2023 06:00:00,0.0303
03/01/2023 06:15:00,0.0303
03/01/2023 06:30:00,0.0305
03/01/2023 06:45:00,0.0265
03/01/2023 07:00:00,0.0243
03/01/2023 07:15:00,0.0243
03/01/2023 07:30:00,0.0306
03/01/2023 07:45:00,0.0306
03/01/2023 08:00:00,0.0307
03/01/2023 08:15:00,0.0305
03/01/2023 08:30:00,0.0313
03/01/2023 08:45:00,0.0314
03/01/2023 09:00:00,0.0296
03/01/2023 09:15:00,0.0294
03/01/2023 09:30:00,0.0300
03/01/2023 09:45:00,0.0297
03/01/2023 10:00:00,0.0315
03/01/2023 10:15:00,0.0325
03/01/2023 10:30:00,0.0308
03/01/2023 10:45:00,0.0300
03/01/2023 11:00:00,0.0297
03/01/2023 11:15:00,0.0293
03/01/2023 11:30:00,0.0296
03/01/2023 11:45:00,0.0293
03/01/2023 12:00:00,0.0308
03/01/2023 12:15:00,0.0309
03/01/2023 12:30:00,0.0293
03/01/2023 12:45:00,0.0291
03/01/2023 13:00:00,0.0292
03/01/2023 13:15:00,0.0292
03/01/2023 13:30:00,0.0297
03/01/2023 13:45:00,0.0285
03/01/2023 14:00:00,0.0288
03/01/2023 14:15:00,0.0287
03/01/2023 14:30:00,0.0287
03/01/2023 14:45:00,0.0288
03/01/2023 15:00:00,0.0288
03/01/2023 15:15:00,0.0285
03/01/2023 15:30:00,0.0279
03/01/2023 15:45:00,0.0286
03/01/2023 16:00:00,0.0234
03/01/2023 16:15:00,0.0212
03/01/2023 16:30:00,0.0212
03/01/2023 16:45:00,0.0287
03/01/2023 17:00:00,0.0286
03/01/2023 17:15:00,0.0284
03/01/2023 17:30:00,0.0285
03/01/2023 17:45:00,0.0289
03/01/2023 18:00:00,0.0289
03/01/2023 18:15:00,0.0290
03/01/2023 18:30:00,0.0290
03/01/2023 18:45:00,0.0291
03/01/2023 19:00:00,0.0291
03/01/2023 19:15:00,0.0291
03/01/2023 19:30:00,0.0291
03/01/2023 19:45:00,0.0291
03/01/2023 20:00:00,0.0294
03/01/2023 20:15:00,0.0293
03/01/2023 20:30:00,0.0293
03/01/2023 20:45:00,0.0292
03/01/2023 21:00:00,0.0293
03/01/2023 21:15:00,0.0292
03/01/2023 21:30:00,0.0293
03/01/2023 21:45:00,0.0293
03/01/2023 22:00:00,0.0295
03/01/2023 22:15:00,0.0296
03/01/2023 22:30:00,0.0296
03/01/2023 22:45:00,0.0296
03/01/2023 23:00:00,0.0296
03/01/2023 23:15:00,0.0297
03/01/2023 23:30:00,0.0298
03/01/2023 23:45:00,0.0297
03/02/2023 00:00:00,0.0297
03/02/2023 00:15:00,0.0297
03/02/2023 00:30:00,0.0296
03/02/2023 00:45:00,0.0296
03/02/2023 01:00:00,0.0296
03/02/2023 01:15:00,0.0295
03/02/2023 01:30:00,0.0295
03/02/2023 01:45:00,0.0296
03/02/2023 02:00:00,0.0297
03/02/2023 02:15:00,0.0298
03/02/2023 02:30:00,0.0298
03/02/2023 02:45:00,0.0300
03/02/2023 03:00:00,0.0297
03/02/2023 03:15:00,0.0298
03/02/2023 03:30:00,0.0299
03/02/2023 03:45:00,0.0301
03/02/2023 04:00:00,0.0301
03/02/2023 04:15:00,0.0300
03/02/2023 04:30:00,0.0301
03/02/2023 04:45:00,0.0302
03/02/2023 05:00:00,0.0303
03/02/2023 05:15:00,0.0304
03/02/2023 05:30:00,0.0305
03/02/2023 05:45:00,0.0305
03/02/2023 06:00:00,0.0303
03/02/2023 06:15:00,0.0300
03/02/2023 06:30:00,0.0300
03/02/2023 06:45:00,0.0329
03/02/2023 07:00:00,0.0304
03/02/2023 07:15:00,0.0302
03/02/2023 07:30:00,0.0301
03/02/2023 07:45:00,0.0299
03/02/2023 08:00:00,0.0298
03/02/2023 08:15:00,0.0299
03/02/2023 08:30:00,0.0300
03/02/2023 08:45:00,0.0301
03/02/2023 09:00:00,0.0300
03/02/2023 09:15:00,0.0298
03/02/2023 09:30:00,0.0298
03/02/2023 09:45:00,0.0297
03/02/2023 10:00:00,0.0297
03/02/2023 10:15:00,0.0296
03/02/2023 10:30:00,0.0295
03/02/2023 10:45:00,0.0295
03/02/2023 11:00:00,0.0294
03/02/2023 11:15:00,0.0293
03/02/2023 11:30:00,0.0290
03/02/2023 11:45:00,0.0293
03/02/2023 12:00:00,0.0292
03/02/2023 12:15:00,0.0292
03/02/2023 12:30:00,0.0291
03/02/2023 12:45:00,0.0289
03/02/2023 13:00:00,0.0289
03/02/2023 13:15:00,0.0288
03/02/2023 13:30:00,0.0289
03/02/2023 13:45:00,0.0289
03/02/2023 14:00:00,0.0287
03/02/2023 14:15:00,0.0286
03/02/2023 14:30:00,0.0285
03/02/2023 14:45:00,0.0286
03/02/2023 15:00:00,0.0289
03/02/2023 15:15:00,0.0288
03/02/2023 15:30:00,0.0289
03/02/2023 15:45:00,0.0288
03/02/2023 16:00:00,0.0288
03/02/2023 16:15:00,0.0287
03/02/2023 16:30:00,0.0286
03/02/2023 16:45:00,0.0285
03/02/2023 17:00:00,0.0284
03/02/2023 17:15:00,0.0273
03/02/2023 17:30:00,0.0288
03/02/2023 17:45:00,0.0282
03/02/2023 18:00:00,0.0282
