Time Bucket (America/Chicago),Casa6-Mains_C (kWatts)
03/01/2023 00:00:00,0.0244
03/01/2023 00:15:00,0.0041
03/01/2023 00:30:00,0.0779
03/01/2023 00:45:00,0.0451
03/01/2023 01:00:00,0.0040
03/01/2023 01:15:00,0.0501
03/01/2023 01:30:00,0.0720
03/01/2023 01:45:00,0.0040
03/01/2023 02:00:00,0.0154
03/01/2023 02:15:00,0.1051
03/01/2023 02:30:00,0.0041
03/01/2023 02:45:00,0.0039
03/01/2023 03:00:00,0.0901
03/01/2023 03:15:00,0.0293
03/01/2023 03:30:00,0.0038
03/01/2023 03:45:00,0.0410
03/01/2023 04:00:00,0.0753
03/01/2023 04:15:00,0.0039
03/01/2023 04:30:00,0.0038
03/01/2023 04:45:00,0.1029
03/01/2023 05:00:00,0.0135
03/01/2023 05:15:00,0.0038
03/01/2023 05:30:00,0.0368
03/01/2023 05:45:00,0.0783
03/01/2023 06:00:00,0.0039
03/01/2023 06:15:00,0.0037
03/01/2023 06:30:00,0.0760
03/01/2023 06:45:00,0.0427
03/01/2023 07:00:00,0.0276
03/01/2023 07:15:00,0.0195
03/01/2023 07:30:00,0.1193
03/01/2023 07:45:00,0.1688
03/01/2023 08:00:00,0.1654
03/01/2023 08:15:00,0.0368
03/01/2023 08:30:00,0.1263
03/01/2023 08:45:00,0.2911
03/01/2023 09:00:00,0.1462
03/01/2023 09:15:00,0.1412
03/01/2023 09:30:00,0.0820
03/01/2023 09:45:00,0.1514
03/01/2023 10:00:00,0.1549
03/01/2023 10:15:00,0.0000
03/01/2023 10:30:00,0.0000
03/01/2023 10:45:00,0.0176
03/01/2023 11:00:00,0.1111
03/01/2023 11:15:00,0.0000
03/01/2023 11:30:00,0.0000
03/01/2023 11:45:00,0.0388
03/01/2023 12:00:00,0.0786
03/01/2023 12:15:00,0.0000
03/01/2023 12:30:00,0.0000
03/01/2023 12:45:00,0.0713
03/01/2023 13:00:00,0.0464
03/01/2023 13:15:00,0.0000
03/01/2023 13:30:00,0.0147
03/01/2023 13:45:00,0.1152
03/01/2023 14:00:00,0.0414
03/01/2023 14:15:00,0.0061
03/01/2023 14:30:00,0.2592
03/01/2023 14:45:00,0.0394
03/01/2023 15:00:00,0.1044
03/01/2023 15:15:00,0.3818
03/01/2023 15:30:00,0.5395
03/01/2023 15:45:00,0.0866
03/01/2023 16:00:00,0.3010
03/01/2023 16:15:00,0.0987
03/01/2023 16:30:00,0.0000
03/01/2023 16:45:00,0.0690
03/01/2023 17:00:00,0.1114
03/01/2023 17:15:00,0.0108
03/01/2023 17:30:00,0.0000
03/01/2023 17:45:00,0.1005
03/01/2023 18:00:00,0.0788
03/01/2023 18:15:00,0.0600
03/01/2023 18:30:00,0.1045
03/01/2023 18:45:00,0.1931
03/01/2023 19:00:00,0.1068
03/01/2023 19:15:00,0.0831
03/01/2023 19:30:00,0.1332
03/01/2023 19:45:00,0.2244
03/01/2023 20:00:00,0.1164
03/01/2023 20:15:00,0.1025
03/01/2023 20:30:00,0.1814
03/01/2023 20:45:00,0.1355
03/01/2023 21:00:00,0.0847
03/01/2023 21:15:00,0.1291
03/01/2023 21:30:00,0.1695
03/01/2023 21:45:00,0.0078
03/01/2023 22:00:00,0.0067
03/01/2023 22:15:00,0.0931
03/01/2023 22:30:00,0.0533
03/01/2023 22:45:00,0.0046
03/01/2023 23:00:00,0.0297
03/01/2023 23:15:00,0.1149
03/01/2023 23:30:00,0.0048
03/01/2023 23:45:00,0.0048
03/02/2023 00:00:00,0.0754
03/02/2023 00:15:00,0.0679
03/02/2023 00:30:00,0.0048
03/02/2023 00:45:00,0.0047
03/02/2023 01:00:00,0.1205
03/02/2023 01:15:00,0.0196
03/02/2023 01:30:00,0.0046
03/02/2023 01:45:00,0.0528
03/02/2023 02:00:00,0.0844
03/02/2023 02:15:00,0.0046
03/02/2023 02:30:00,0.0045
03/02/2023 02:45:00,0.0996
03/02/2023 03:00:00,0.0345
03/02/2023 03:15:00,0.0045
03/02/2023 03:30:00,0.0275
03/02/2023 03:45:00,0.1036
03/02/2023 04:00:00,0.0047
03/02/2023 04:15:00,0.0046
03/02/2023 04:30:00,0.0660
03/02/2023 04:45:00,0.0626
03/02/2023 05:00:00,0.0048
03/02/2023 05:15:00,0.0046
03/02/2023 05:30:00,0.0829
03/02/2023 05:45:00,0.0467
03/02/2023 06:00:00,0.0044
03/02/2023 06:15:00,0.0044
03/02/2023 06:30:00,0.0827
03/02/2023 06:45:00,0.0513
03/02/2023 07:00:00,0.0292
03/02/2023 07:15:00,0.0293
03/02/2023 07:30:00,0.0799
