Time Bucket (America/Chicago),Casa6-Mains_C (kWhs)
03/01/2023 00:00:00,0.0379
03/01/2023 01:00:00,0.0326
03/01/2023 02:00:00,0.0321
03/01/2023 03:00:00,0.0410
03/01/2023 04:00:00,0.0465
03/01/2023 05:00:00,0.0331
03/01/2023 06:00:00,0.0316
03/01/2023 07:00:00,0.0819
03/01/2023 08:00:00,0.1568
03/01/2023 09:00:00,0.1302
03/01/2023 10:00:00,0.0431
03/01/2023 11:00:00,0.0375
03/01/2023 12:00:00,0.0375
03/01/2023 13:00:00,0.0441
03/01/2023 14:00:00,0.0865
03/01/2023 15:00:00,0.2781
03/01/2023 16:00:00,0.1172
03/01/2023 17:00:00,0.0557
03/01/2023 18:00:00,0.1091
03/01/2023 19:00:00,0.1369
03/01/2023 20:00:00,0.1340
03/01/2023 21:00:00,0.1039
03/01/2023 22:00:00,0.0332
03/01/2023 23:00:00,0.0386
03/02/2023 00:00:00,0.0382
03/02/2023 01:00:00,0.0494
03/02/2023 02:00:00,0.0483
03/02/2023 03:00:00,0.0425
03/02/2023 04:00:00,0.0345
03/02/2023 05:00:00,0.0348
03/02/2023 06:00:00,0.0357
03/02/2023 07:00:00,0.0500
03/02/2023 08:00:00,0.0502
03/02/2023 09:00:00,0.0522
03/02/2023 10:00:00,0.0624
03/02/2023 11:00:00,0.1237
03/02/2023 12:00:00,0.0454
03/02/2023 13:00:00,0.0469
03/02/2023 14:00:00,0.0409
03/02/2023 15:00:00,0.0630
03/02/2023 16:00:00,0.1404
03/02/2023 17:00:00,0.1409
03/02/2023 18:00:00,0.0917
03/02/2023 19:00:00,0.1374
03/02/2023 20:00:00,0.0712
03/02/2023 21:00:00,0.1064
03/02/2023 22:00:00,0.0592
03/02/2023 23:00:00,0.0568
03/03/2023 00:00:00,0.0546
03/03/2023 01:00:00,0.0390
03/03/2023 02:00:00,0.0135
03/03/2023 03:00:00,0.0505
03/03/2023 04:00:00,0.0522
03/03/2023 05:00:00,0.0119
03/03/2023 06:00:00,0.0431
03/03/2023 07:00:00,0.0382
03/03/2023 08:00:00,0.1187
03/03/2023 09:00:00,0.1098
03/03/2023 10:00:00,0.0521
03/03/2023 11:00:00,0.0468
03/03/2023 12:00:00,0.0454
03/03/2023 13:00:00,0.0455
03/03/2023 14:00:00,0.0957
03/03/2023 15:00:00,0.1409
03/03/2023 16:00:00,0.0648
03/03/2023 17:00:00,0.0614
03/03/2023 18:00:00,0.0519
03/03/2023 19:00:00,0.1394
03/03/2023 20:00:00,0.0776
03/03/2023 21:00:00,0.0625
03/03/2023 22:00:00,0.0428
03/03/2023 23:00:00,0.0575
03/04/2023 00:00:00,0.0543
03/04/2023 01:00:00,0.0525
03/04/2023 02:00:00,0.0343
03/04/2023 03:00:00,0.0233
03/04/2023 04:00:00,0.1293
03/04/2023 05:00:00,0.1004
03/04/2023 06:00:00,0.0051
03/04/2023 07:00:00,0.0590
03/04/2023 08:00:00,0.0457
03/04/2023 09:00:00,0.0829
03/04/2023 10:00:00,0.1316
03/04/2023 11:00:00,0.1206
03/04/2023 12:00:00,0.0791
03/04/2023 13:00:00,0.0260
03/04/2023 14:00:00,0.0777
03/04/2023 15:00:00,0.0774
03/04/2023 16:00:00,0.0552
03/04/2023 17:00:00,0.0556
03/04/2023 18:00:00,0.0714
03/04/2023 19:00:00,0.0810
03/04/2023 20:00:00,0.0813
03/04/2023 21:00:00,0.0669
