Time Bucket (America/Chicago),Casa 7-Mains_A (kWhs)
03/01/2023 00:00:00,0.0000
03/01/2023 01:00:00,0.0000
03/01/2023 02:00:00,0.0000
03/01/2023 03:00:00,0.0000
03/01/2023 04:00:00,0.0001
03/01/2023 05:00:00,0.0000
03/01/2023 06:00:00,0.0116
03/01/2023 07:00:00,0.0003
03/01/2023 08:00:00,0.0000
03/01/2023 09:00:00,0.0020
03/01/2023 10:00:00,0.0000
03/01/2023 11:00:00,0.0000
03/01/2023 12:00:00,0.0000
03/01/2023 13:00:00,0.0000
03/01/2023 14:00:00,0.0002
03/01/2023 15:00:00,0.0002
03/01/2023 16:00:00,0.0021
03/01/2023 17:00:00,0.0014
03/01/2023 18:00:00,0.0016
03/01/2023 19:00:00,0.0017
03/01/2023 20:00:00,0.0266
03/01/2023 21:00:00,0.0641
03/01/2023 22:00:00,0.0034
03/01/2023 23:00:00,0.0000
03/02/2023 00:00:00,0.0000
03/02/2023 01:00:00,0.0002
03/02/2023 02:00:00,0.0000
03/02/2023 03:00:00,0.0000
03/02/2023 04:00:00,0.0000
03/02/2023 05:00:00,0.0002
03/02/2023 06:00:00,0.0094
03/02/2023 07:00:00,0.0014
03/02/2023 08:00:00,0.0000
03/02/2023 09:00:00,0.0000
03/02/2023 10:00:00,0.0000
03/02/2023 11:00:00,0.0000
03/02/2023 12:00:00,0.0000
03/02/2023 13:00:00,0.0000
03/02/2023 14:00:00,0.0000
03/02/2023 15:00:00,0.0019
03/02/2023 16:00:00,0.0000
03/02/2023 17:00:00,0.0000
03/02/2023 18:00:00,0.0000
03/02/2023 19:00:00,0.0230
03/02/2023 20:00:00,0.0735
03/02/2023 21:00:00,0.0387
03/02/2023 22:00:00,0.0126
03/02/2023 23:00:00,0.0000
03/03/2023 00:00:00,0.0000
03/03/2023 01:00:00,0.0001
03/03/2023 02:00:00,0.0002
03/03/2023 03:00:00,0.0005
03/03/2023 04:00:00,0.0000
03/03/2023 05:00:00,0.0005
03/03/2023 06:00:00,0.0067
03/03/2023 07:00:00,0.0013
03/03/2023 08:00:00,0.0000
03/03/2023 09:00:00,0.0000
03/03/2023 10:00:00,0.0000
03/03/2023 11:00:00,0.0000
03/03/2023 12:00:00,0.0000
03/03/2023 13:00:00,0.0000
03/03/2023 14:00:00,0.0000
03/03/2023 15:00:00,0.0000
03/03/2023 16:00:00,0.0000
03/03/2023 17:00:00,0.0000
03/03/2023 18:00:00,0.0000
03/03/2023 19:00:00,0.0146
03/03/2023 20:00:00,0.0600
03/03/2023 21:00:00,0.0568
03/03/2023 22:00:00,0.0665
03/03/2023 23:00:00,0.0446
03/04/2023 00:00:00,0.0000
03/04/2023 01:00:00,0.0001
03/04/2023 02:00:00,0.0001
03/04/2023 03:00:00,0.0000
03/04/2023 04:00:00,0.0119
03/04/2023 05:00:00,0.0355
03/04/2023 06:00:00,0.0510
03/04/2023 07:00:00,0.0228
03/04/2023 08:00:00,0.0104
03/04/2023 09:00:00,0.0011
03/04/2023 10:00:00,0.0077
03/04/2023 11:00:00,0.0000
03/04/2023 12:00:00,0.0000
03/04/2023 13:00:00,0.0034
03/04/2023 14:00:00,0.0004
03/04/2023 15:00:00,0.0429
03/04/2023 16:00:00,0.0002
03/04/2023 17:00:00,0.0077
03/04/2023 18:00:00,0.0178
03/04/2023 19:00:00,0.0174
03/04/2023 20:00:00,0.0014
03/04/2023 21:00:00,0.0138
03/04/2023 22:00:00,0.0353
03/04/2023 23:00:00,0.0273
03/05/2023 00:00:00,0.0181
03/05/2023 01:00:00,0.0148
03/05/2023 02:00:00,0.0564
03/05/2023 03:00:00,0.0488
03/05/2023 04:00:00,0.0450
03/05/2023 05:00:00,0.0432
03/05/2023 06:00:00,0.0174
03/05/2023 07:00:00,0.0000
03/05/2023 08:00:00,0.0001
03/05/2023 09:00:00,0.0000
03/05/2023 10:00:00,0.0001
03/05/2023 11:00:00,0.0052
03/05/2023 12:00:00,0.0484
03/05/2023 13:00:00,0.1728
03/05/2023 14:00:00,0.0123
03/05/2023 15:00:00,0.0001
03/05/2023 16:00:00,0.0009
03/05/2023 17:00:00,0.0118
03/05/2023 18:00:00,0.0688
03/05/2023 19:00:00,0.0316
03/05/2023 20:00:00,0.0395
03/05/2023 21:00:00,0.0117
03/05/2023 22:00:00,0.0011
03/05/2023 23:00:00,0.0000
03/06/2023 00:00:00,0.0000
03/06/2023 01:00:00,0.0000
03/06/2023 02:00:00,0.0000
03/06/2023 03:00:00,0.0003
03/06/2023 04:00:00,0.0000
03/06/2023 05:00:00,0.0008
03/06/2023 06:00:00,0.0053
03/06/2023 07:00:00,0.0007
03/06/2023 08:00:00,0.0001
03/06/2023 09:00:00,0.0000
03/06/2023 10:00:00,0.0000
03/06/2023 11:00:00,0.0000
03/06/2023 12:00:00,0.0000
03/06/2023 13:00:00,0.0000
03/06/2023 14:00:00,0.0002
03/06/2023 15:00:00,0.0006
03/06/2023 16:00:00,0.0000
03/06/2023 17:00:00,0.0000
03/06/2023 18:00:00,0.0000
03/06/2023 19:00:00,0.0000
03/06/2023 20:00:00,0.0250
03/06/2023 21:00:00,0.0284
03/06/2023 22:00:00,0.0073
03/06/2023 23:00:00,0.0000
03/07/2023 00:00:00,0.0002
03/07/2023 01:00:00,0.0000
03/07/2023 02:00:00,0.0000
03/07/2023 03:00:00,0.0000
03/07/2023 04:00:00,0.0000
03/07/2023 05:00:00,0.0003
03/07/2023 06:00:00,0.0071
03/07/2023 07:00:00,0.0012
03/07/2023 08:00:00,0.0000
03/07/2023 09:00:00,0.0000
03/07/2023 10:00:00,0.0000
03/07/2023 11:00:00,0.0000
03/07/2023 12:00:00,0.0018
03/07/2023 13:00:00,0.0000
03/07/2023 14:00:00,0.0000
03/07/2023 15:00:00,0.0000
03/07/2023 16:00:00,0.0000
03/07/2023 17:00:00,0.0000
03/07/2023 18:00:00,0.0008
03/07/2023 19:00:00,0.0270
03/07/2023 20:00:00,0.0646
03/07/2023 21:00:00,0.0400
03/07/2023 22:00:00,0.0207
03/07/2023 23:00:00,0.0007
03/08/2023 00:00:00,0.0000
03/08/2023 01:00:00,0.0000
03/08/2023 02:00:00,0.0000
03/08/2023 03:00:00,0.0005
03/08/2023 04:00:00,0.0000
03/08/2023 05:00:00,0.0006
