Time Bucket (America/Chicago),Casa10-Mains_A (kWhs)
03/01/2023 00:00:00,0.7032
03/02/2023 00:00:00,0.7053
03/03/2023 00:00:00,0.7091
03/04/2023 00:00:00,0.7364
03/05/2023 00:00:00,0.6955
03/06/2023 00:00:00,0.7167
03/07/2023 00:00:00,0.7101
03/08/2023 00:00:00,0.6201
03/09/2023 00:00:00,0.0001
03/10/2023 00:00:00,0.0039
03/11/2023 00:00:00,0.0181
03/12/2023 00:00:00,0.0021
03/13/2023 00:00:00,0.0033
03/14/2023 00:00:00,0.0015
03/15/2023 00:00:00,0.0025
03/16/2023 00:00:00,0.0002
03/17/2023 00:00:00,0.0002
03/18/2023 00:00:00,0.0002
03/19/2023 00:00:00,0.0002
03/20/2023 00:00:00,0.0002
03/21/2023 00:00:00,0.0007
03/22/2023 00:00:00,0.0040
03/23/2023 00:00:00,0.0002
03/24/2023 00:00:00,0.0093
03/25/2023 00:00:00,0.0130
03/26/2023 00:00:00,0.0008
03/27/2023 00:00:00,0.0038
03/28/2023 00:00:00,0.0053
03/29/2023 00:00:00,0.2538
03/30/2023 00:00:00,0.0000
03/31/2023 00:00:00,0.0001
04/01/2023 00:00:00,0.0208
